




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	mirtarbase_human_background.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	mirtarbase_human_background.txt - REFLIST (14675)	upload_1 (77)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nose morphogenesis (GO:0043585)	2	2	.01	+	 > 100	2.72E-05	1.74E-03
negative regulation of vitamin D biosynthetic process (GO:0010957)	5	3	.03	+	 > 100	1.38E-06	1.42E-04
negative regulation of vitamin metabolic process (GO:0046137)	7	3	.04	+	81.68	4.79E-06	4.17E-04
mammary gland involution (GO:0060056)	7	3	.04	+	81.68	4.79E-06	4.14E-04
regulation of vitamin D biosynthetic process (GO:0060556)	7	3	.04	+	81.68	4.79E-06	4.12E-04
cellular response to indole-3-methanol (GO:0071681)	5	2	.03	+	76.23	2.69E-04	1.14E-02
acinar cell differentiation (GO:0090425)	5	2	.03	+	76.23	2.69E-04	1.14E-02
detection of muscle stretch (GO:0035995)	5	2	.03	+	76.23	2.69E-04	1.13E-02
response to indole-3-methanol (GO:0071680)	6	2	.03	+	63.53	4.02E-04	1.54E-02
trachea formation (GO:0060440)	7	2	.04	+	54.45	5.61E-04	2.00E-02
regulation of DNA-templated DNA replication initiation (GO:0030174)	14	4	.07	+	54.45	6.74E-07	7.60E-05
negative regulation of cell adhesion mediated by integrin (GO:0033629)	11	3	.06	+	51.98	2.22E-05	1.46E-03
Bergmann glial cell differentiation (GO:0060020)	11	3	.06	+	51.98	2.22E-05	1.45E-03
positive regulation of amyloid-beta clearance (GO:1900223)	8	2	.04	+	47.65	7.46E-04	2.51E-02
cellular response to mineralocorticoid stimulus (GO:0071389)	12	3	.06	+	47.65	2.95E-05	1.85E-03
double-strand break repair via break-induced replication (GO:0000727)	12	3	.06	+	47.65	2.95E-05	1.84E-03
regulation of vitamin metabolic process (GO:0030656)	12	3	.06	+	47.65	2.95E-05	1.83E-03
negative regulation of steroid biosynthetic process (GO:0010894)	22	5	.12	+	43.31	8.56E-08	1.43E-05
ERBB2-ERBB3 signaling pathway (GO:0038133)	9	2	.05	+	42.35	9.55E-04	2.98E-02
ERBB3 signaling pathway (GO:0038129)	9	2	.05	+	42.35	9.55E-04	2.97E-02
embryonic neurocranium morphogenesis (GO:0048702)	9	2	.05	+	42.35	9.55E-04	2.96E-02
neuron fate determination (GO:0048664)	9	2	.05	+	42.35	9.55E-04	2.96E-02
TRIF-dependent toll-like receptor signaling pathway (GO:0035666)	9	2	.05	+	42.35	9.55E-04	2.95E-02
negative regulation of steroid metabolic process (GO:0045939)	24	5	.13	+	39.71	1.37E-07	2.06E-05
cartilage morphogenesis (GO:0060536)	10	2	.05	+	38.12	1.19E-03	3.55E-02
nose development (GO:0043584)	15	3	.08	+	38.12	6.04E-05	3.39E-03
phospholipid efflux (GO:0033700)	11	2	.06	+	34.65	1.45E-03	4.11E-02
trachea morphogenesis (GO:0060439)	11	2	.06	+	34.65	1.45E-03	4.10E-02
ectodermal placode morphogenesis (GO:0071697)	11	2	.06	+	34.65	1.45E-03	4.09E-02
negative regulation of chondrocyte differentiation (GO:0032331)	22	4	.12	+	34.65	4.77E-06	4.18E-04
thymocyte apoptotic process (GO:0070242)	11	2	.06	+	34.65	1.45E-03	4.09E-02
negative regulation of mitochondrial membrane potential (GO:0010917)	11	2	.06	+	34.65	1.45E-03	4.08E-02
ectodermal placode formation (GO:0060788)	11	2	.06	+	34.65	1.45E-03	4.07E-02
synaptic vesicle clustering (GO:0097091)	11	2	.06	+	34.65	1.45E-03	4.06E-02
cellular response to nitric oxide (GO:0071732)	12	2	.06	+	31.76	1.73E-03	4.68E-02
ectodermal placode development (GO:0071696)	12	2	.06	+	31.76	1.73E-03	4.68E-02
dorsal/ventral axis specification (GO:0009950)	12	2	.06	+	31.76	1.73E-03	4.67E-02
progesterone receptor signaling pathway (GO:0050847)	12	2	.06	+	31.76	1.73E-03	4.66E-02
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	12	2	.06	+	31.76	1.73E-03	4.65E-02
anoikis (GO:0043276)	12	2	.06	+	31.76	1.73E-03	4.64E-02
MyD88-independent toll-like receptor signaling pathway (GO:0002756)	12	2	.06	+	31.76	1.73E-03	4.63E-02
negative regulation of membrane potential (GO:0045837)	12	2	.06	+	31.76	1.73E-03	4.62E-02
epithelial to mesenchymal transition involved in endocardial cushion formation (GO:0003198)	12	2	.06	+	31.76	1.73E-03	4.62E-02
regulation of bicellular tight junction assembly (GO:2000810)	19	3	.10	+	30.09	1.27E-04	6.37E-03
DNA unwinding involved in DNA replication (GO:0006268)	19	3	.10	+	30.09	1.27E-04	6.35E-03
lens morphogenesis in camera-type eye (GO:0002089)	21	3	.11	+	27.23	1.73E-04	8.03E-03
hair follicle morphogenesis (GO:0031069)	28	4	.15	+	27.23	1.30E-05	9.75E-04
negative regulation of cartilage development (GO:0061037)	28	4	.15	+	27.23	1.30E-05	9.70E-04
release of cytochrome c from mitochondria (GO:0001836)	22	3	.12	+	25.99	1.99E-04	8.95E-03
response to muscle stretch (GO:0035994)	22	3	.12	+	25.99	1.99E-04	8.93E-03
canonical NF-kappaB signal transduction (GO:0007249)	46	6	.24	+	24.86	1.36E-07	2.06E-05
non-canonical NF-kappaB signal transduction (GO:0038061)	31	4	.16	+	24.59	1.98E-05	1.33E-03
epidermis morphogenesis (GO:0048730)	31	4	.16	+	24.59	1.98E-05	1.32E-03
positive regulation of release of cytochrome c from mitochondria (GO:0090200)	24	3	.13	+	23.82	2.60E-04	1.11E-02
neuronal stem cell population maintenance (GO:0097150)	24	3	.13	+	23.82	2.60E-04	1.10E-02
extrinsic apoptotic signaling pathway in absence of ligand (GO:0097192)	33	4	.17	+	23.10	2.55E-05	1.65E-03
endocardial cushion formation (GO:0003272)	25	3	.13	+	22.87	2.94E-04	1.22E-02
signal transduction in absence of ligand (GO:0038034)	34	4	.18	+	22.42	2.88E-05	1.83E-03
lung epithelial cell differentiation (GO:0060487)	26	3	.14	+	21.99	3.31E-04	1.32E-02
lung cell differentiation (GO:0060479)	26	3	.14	+	21.99	3.31E-04	1.31E-02
