Gene name,DCR-knockout1_hsa_SRR3174967,DCR-knockout2_hsa_SRR3174968,DROSHA-knockout1_hsa_SRR3174962,DROSHA-knockout2_hsa_SRR3174963,XPO-knockout1_hsa_SRR3174965,XPO-knockout2_hsa_SRR3174966,blood_hsa_SRR6880328-31,brain-fetal_hsa_SRR6853295,brain_hsa_SRR6853289,cell-lines-combined_hsa_SRR5127211,cerebellum_hsa_SRR6853290,colorectum_hsa_EGAD00001001644,foreskin_hsa,heart_hsa_SRR6853301,kidney_hsa_SRR6853294,leukocytes_hsa_SRR6880332-35,liver-fetal_hsa_SRR6853297,liver_hsa_SRR2061807,lung_hsa_SRR6853298,pancreas_hsa_SRR040800,placenta_hsa_SRR6853300,plasma_hsa_SRR6880326-39,skeletal-muscle_hsa_SRR6853299,skin-leg_hsa,skin_hsa_SRR330904-23,small-intestine_hsa_SRR6853296,spinal-cord_hsa_SRR6853285,spleen_hsa_SRR6853286,stomach_hsa_SRR6853287,testis_hsa_SRR6853288,thymus_hsa_SRR6853302,uterus_hsa_SRR6853303
Hsa-Let-7-P1d_pri,534.97,559.63,1284.49,906.27,702.03,1029.74,30376.58,15062.74,132742.19,33686.15,76709.65,20706.61,18569.54,51196.76,59683.66,12565.88,37123.90,8245.45,69715.23,151396.04,5334.14,21523.07,21528.03,63879.93,129556.86,44043.23,56298.47,33306.59,94562.54,62880.94,62497.72,59270.77
Hsa-Let-7-P1b_pri,25.32,38.21,160.56,38.73,44.74,69.14,12.24,21377.01,8347.29,2264.64,47352.63,619.92,1842.66,17992.08,21726.16,97.58,3845.47,210.67,3740.50,563.47,2762.07,599.69,2144.08,1890.85,1470.16,8426.77,1657.14,4098.27,7006.35,2467.99,3764.92,9824.55
Hsa-Let-7-P1c_pri,3.17,0,0,7.75,0,0,38.86,29978.07,19552.82,2544.90,32543.61,289.14,96.78,29622.32,13243.17,33.32,4457.58,1539.77,7440.70,21774.80,287.33,89.85,7815.91,12316.78,19119.36,4358.46,7234.42,419.22,20520.26,13047.86,17901.60,50604.97
Hsa-Let-7-P2a1_pri,680.59,775.39,1284.49,898.53,702.03,1031.95,30378.22,15076.77,132773.55,33677.45,76716.95,20706.58,18566.14,51233.08,59701.36,12574.38,37128.81,8263.34,69759.57,159912.96,5329.50,21539.94,21565.43,63892.73,129612.35,44052.59,56330.93,33292.13,94562.54,62898.41,62522.01,59290.31
Hsa-Let-7-P2a2_pri,658.43,642.79,1284.49,921.77,703.17,1035.63,30384.16,15153.28,133033.74,33682.34,76910.44,20699.47,18568.17,51315.28,59906.71,12573.36,37150.45,8249.51,69799.88,151418.48,5338.77,21539.22,21615.29,63989.73,129784.49,44111.87,56424.70,33357.19,94637.94,62924.36,62558.45,59389.84
Hsa-Let-7-P2a3_pri,864.19,1274.34,3116.36,1595.66,5699.94,5611.36,110012.53,456.23,89643.19,21389.37,3374.61,11710.57,24305.94,3593.83,7185.41,98429.52,43210.61,15370.02,5469.68,238535.31,115.86,70409.09,1832.44,15999.79,63581.09,4573.73,36615.69,4799.39,3068.18,35796.11,5586.66,2740.50
Hsa-Let-7-P2b1_pri,848.36,813.60,3028.78,1541.44,5381.05,5263.45,109861.54,430.26,87450.82,20825.13,3313.00,11405.30,23977.48,3467.66,6976.52,95618.03,41059.20,14728.25,5364.88,31654.29,115.86,66201.28,1757.64,15636.37,62367.38,4464.54,34887.33,4719.88,2969.58,34480.31,5173.73,2656.97
Hsa-Let-7-P2b2_pri,468.50,348.37,255.44,116.19,273.01,1635.08,10032.45,265909.93,39943.43,3654.07,376653.48,2631.06,536.28,139809.49,170847.68,1303.92,8078.47,1677.23,142409.16,111571.09,14055.98,1856.20,137694.62,37941.23,29335.96,129349.88,28348.94,109916.08,318417.77,23279.86,141512.53,223007.36
Hsa-Let-7-P2b3_pri,69.64,42.70,240.84,69.71,285.63,201.54,262.82,35.80,7566.99,2010.84,235.93,725.78,2597.32,139.55,416.01,264.18,2770.42,183.83,266.03,68.93,13.90,406.72,12.47,306.83,397.39,165.35,2301.78,86.74,116.00,1101.35,170.03,95.97
Hsa-Let-7-P2c1_pri,56.98,49.45,423.30,286.60,658.44,1365.14,1848.54,1585.59,7818.10,1172.06,9888.80,657.94,944.87,8971.19,6401.19,631.39,4437.58,401.01,5695.40,3077.02,125.13,1629.76,3452.96,3813.69,1309.51,4464.54,3188.95,4018.76,5689.76,2666.55,5477.36,4140.96
Hsa-Let-7-P2c2_pri,338.71,1036.11,1415.86,821.07,6552.24,5625.33,24246.43,3317.17,14733.52,6548.88,19041.08,1329.95,17134.57,19471.67,10453.27,13853.13,14240.92,3342.26,9480.24,844.80,500.51,16972.72,5472.38,3923.15,1505.13,12950.59,9432.52,14745.10,21280.05,9220.66,14391.72,9812.11
Hsa-Let-7-P2c3_pri,297.56,155.08,416.00,255.62,1113.83,1664.50,23649.28,1594.71,36317.53,4218.63,8870.72,5041.46,3347.14,22081.02,17082.82,61193.28,16377.25,13883.94,13764.89,10953.52,338.31,13640.66,3976.51,4902.26,10597.25,16276.37,27404.97,17780.86,11170.72,17488.23,11501.23,9543.75
Hsa-Mir-1-P1_pri,0,0,0,0,0,0,22.49,0.70,820.45,18.64,0,47.95,0.12,3496.34,14.16,104.38,33.44,950.87,12.09,7530.25,0,349.46,5484.85,131.36,932.46,196.55,1862.70,0,46.40,1547.19,0,90.64
Hsa-Mir-1-P2_pri,0,0,0,0,0,0,0,11.23,1.93,124.37,420.29,0,0,5.73,12.39,0,3.28,0,0,32.06,0,1.73,16242.63,0,0.88,15.60,91.96,0,11.60,34.95,194.32,0
Hsa-Mir-1-P3_pri,0,0,0,0,0,0,21.91,0.70,798.73,17.91,0,45.87,0.12,3406.49,14.16,91.80,31.80,924.02,12.09,137.86,0,310.38,5148.28,131.02,906.51,190.31,1788.77,0,34.80,1513.83,0,87.08
Hsa-Mir-7-P1_pri,3.17,2.25,21.89,0,19.50,29.42,1025.04,39.31,9957.67,137.88,151.50,17.82,9.19,3.82,14.16,644.31,145.57,403.45,181.38,88.17,9.27,110.91,0.00,51.87,22.09,84.24,287.61,0.00,11.60,480.25,12.14,0.00
Hsa-Mir-7-P2_pri,12.66,4.50,21.89,0,19.50,30.16,1024.71,39.31,9668.04,137.65,146.48,17.93,9.25,3.82,14.16,653.83,145.90,409.95,173.32,102.59,9.27,112.06,0,53.55,22.01,81.12,281.30,0.00,11.60,498.26,36.43,0
Hsa-Mir-7-P4_pri,3.17,2.25,21.89,0,19.50,29.42,1024.50,38.60,9627.61,135.05,144.20,17.70,9.19,3.82,14.16,642.95,144.59,401.82,173.32,87.37,9.27,109.61,0,50.86,21.67,81.12,278.59,0,11.60,478.67,12.14,0
Hsa-Mir-8-P2a_pri,6.33,4.50,43.79,46.48,164.04,73.55,0.70,0,0.00,193.07,0,1458.69,0.12,0,177.02,47.26,12.46,461.20,44.34,114.62,0,13.85,0,995.61,646.82,93.60,0.90,0,29.00,28.59,0,0.00
Hsa-Mir-8-P2b_pri,6.33,24.72,525.47,209.14,185.83,34.57,0.45,0,0,1072.57,0,8468.71,3.22,0.00,17.70,24.82,0.98,4.07,64.49,15.23,32.44,0.87,0,1444.58,2063.71,93.60,0.90,0,11.60,31.77,12.14,0
Hsa-Mir-8-P1a_pri,3.17,6.74,233.54,116.19,543.73,242.72,3.05,0.70,7.15,1383.21,0.46,3306.72,1.07,3.82,1364.86,98.94,100.98,564.50,713.44,8.02,0,63.03,0,2945.73,1324.34,1815.77,38.77,0,638.00,111.19,145.74,58.65
Hsa-Mir-8-P1b_pri,0.00,0,80.28,69.71,13.77,4.41,6.75,9.12,6.05,398.74,10.50,1644.46,0.89,40.14,4593.77,36.38,27.87,21.15,10294.44,11.22,18032.26,19.33,0,9867.17,12510.80,29810.37,24.34,151.79,9192.94,357.41,3910.66,1016.58
Hsa-Mir-8-P3a_pri,9.50,4.50,102.18,69.71,274.16,194.92,0.02,0,1.10,218.60,0,1073.32,0,0,288.55,2.72,25.90,92.73,52.40,14.43,0,0,0,130.68,324.65,230.87,10.82,0,23.20,40.77,0,3.55
Hsa-Mir-9-P1_pri,94.97,87.65,138.67,7.75,90.62,94.88,0.16,1079.52,6736.08,8863.84,245.51,48.75,147.20,15.29,17.70,12.58,3.93,396.94,92.71,4.01,4.63,4.04,0.00,40.08,86.21,12.48,9209.82,0,0,38.12,0.00,21.33
Hsa-Mir-9-P2_pri,98.13,87.65,138.67,7.75,90.62,94.88,0.16,1078.82,6736.08,8863.75,245.51,48.75,147.20,15.29,17.70,12.58,3.93,396.94,92.71,4.01,4.63,4.04,0.00,40.08,86.17,12.48,9204.41,0,0,38.12,0.00,21.33
Hsa-Mir-9-P3_pri,94.97,92.15,138.67,7.75,90.62,94.88,0.16,1078.82,6734.71,8863.76,245.51,48.75,147.20,15.29,17.70,12.58,3.93,396.94,92.71,4.01,4.63,4.04,0.00,40.08,86.17,12.48,9205.31,0,0,38.12,0.00,21.33
Hsa-Mir-10-P1c-v1_pri,143663.90,94993.65,5240.15,2997.68,50580.26,51820.29,200.01,1.40,19.53,38737.59,1.37,58938.95,84252.46,107.05,3609.52,6352.30,1799.95,3632.65,1946.83,878.46,69.52,10441.14,112.19,2230.35,10685.63,3959.12,8104.46,2573.17,1855.99,1962.32,279.33,906.39
Hsa-Mir-10-P1c-v2_pri,143663.90,94993.65,5240.15,2997.68,50580.26,51820.29,200.01,1.40,19.53,38737.59,1.37,58938.95,84232.47,107.05,3609.52,6352.30,1799.95,3632.65,1946.83,878.46,69.52,10441.14,112.19,2226.98,10682.02,3959.12,8104.46,2573.17,1855.99,1962.32,279.33,906.39
Hsa-Mir-10-P1b-v1_pri,10348.08,6364.97,766.32,271.11,45414.87,66642.69,47.54,2.81,43.18,30850.41,2.28,58749.46,181363.17,107.05,9817.75,441.67,421.30,219.62,298.27,6.41,64.88,1486.11,698.07,3356.98,12059.55,1625.45,15195.53,4633.14,707.60,49518.55,959.45,9309.15
Hsa-Mir-10-P1b-v2_pri,10348.08,6367.22,766.32,263.36,45414.87,66642.69,47.54,2.81,43.18,30850.41,2.28,58749.46,181331.25,107.05,9817.75,441.67,421.30,219.62,298.27,6.41,64.88,1486.11,698.07,3352.26,12049.52,1625.45,15195.53,4633.14,707.60,49518.55,959.45,9309.15
Hsa-Mir-10-P2b_pri,91.80,67.43,912.28,511.23,1905.33,3148.80,130.14,1405.20,2242.15,12390.96,2299.93,1618.84,10079.01,3976.15,7539.45,4397.95,1267.18,453.06,9601.16,4.01,7832.05,14941.72,560.95,1167.38,2937.20,5902.80,2266.62,7574.94,6959.95,2461.10,1433.10,7528.36
Hsa-Mir-10-P2c_pri,0,2.25,7.30,0,0,0,90.65,2066.39,45076.56,1007.67,2245.17,79.54,62.53,3748.67,4441.53,1131.53,9825.63,16024.00,4131.48,24.85,217.81,1079.10,1919.70,14879.23,2957.93,2302.47,48245.40,412.00,6611.95,84612.55,7238.37,15337.53
Hsa-Mir-10-P2d_pri,41936.79,39023.68,4437.34,2153.37,7074.17,6262.30,1692.06,412.72,44197.80,35728.92,810.91,631.74,7112.90,885.08,1772.01,2410.29,9166.63,8001.43,3409.98,5.61,3624.06,1065.55,211.91,5191.92,6203.80,2190.15,31264.71,867.36,3514.78,22188.04,5829.56,2313.96
Hsa-Mir-10-P3b_pri,278.57,179.80,459.79,302.09,3261.21,3708.54,49.93,10320.71,1480.83,9583.84,12334.77,1763.90,13838.57,13335.40,23413.20,2991.36,1013.41,1373.02,33656.46,4.01,28788.58,6000.11,2779.82,6046.40,2109.94,17075.06,1991.63,21214.16,11130.12,2180.47,6036.02,44980.02
Hsa-Mir-10-P3c_pri,155.11,78.66,445.19,201.39,3441.30,3827.70,65.74,9535.29,1361.46,5948.27,1497.70,310.43,1323.93,3966.59,3910.46,260.78,175.41,2493.07,4603.08,0.80,3123.55,312.68,673.14,40927.38,6865.58,3151.07,3161.00,1763.63,2604.18,1494.24,3352.00,16418.09
Hsa-Mir-10-P3d_pri,297.56,227.00,445.19,201.39,3443.60,3829.90,65.81,9679.18,1358.99,6096.38,1495.87,310.48,1321.78,3987.62,3940.56,264.86,175.08,2547.57,4623.23,201.18,3142.09,320.62,673.14,41066.49,6861.20,3176.03,3168.21,1770.86,2592.58,1493.71,3352.00,16462.52
Hsa-Mir-15-P1a_pri,2098.74,719.21,43.79,30.98,331.51,239.78,54.93,25.27,42.36,1347.20,3.65,396.38,247.49,51.61,70.81,44.88,83.28,26.84,80.61,14.43,41.71,15.14,0,1049.16,498.94,81.12,515.71,231.30,17.40,76.78,12.14,46.21
Hsa-Mir-15-P1b_pri,819.87,613.57,36.49,38.73,1210.19,987.82,940.16,341.82,20.08,350.76,22.36,126.10,502.92,881.25,1175.44,1188.65,118.36,48.80,3156.05,8.82,690.52,289.03,12.47,728.52,348.78,1915.60,628.41,3447.75,411.80,148.79,655.83,998.81
Hsa-Mir-15-P1c_pri,0,22.48,0,0,17.21,19.86,1.62,14.74,172.18,328.78,1.37,27.71,24.16,80.29,605.42,43.52,1853.39,96.79,84.64,0.00,1830.57,0.72,0.00,114.18,76.83,87.36,1671.56,1423.91,29.00,13376.68,24.29,797.98
Hsa-Mir-15-P1d_pri,3.17,6.74,0,0,3.44,5.88,0.02,165.65,48.41,53.99,59.32,336.02,7.46,235.13,446.10,0,4.59,47.18,596.55,8.82,32.44,0.58,0,4642.24,260.23,786.21,281.30,1214.30,127.60,271.10,85.01,718.00
