Cluster representative	Cluster member	Cluster member description	Member P-value	Member user defined value	Member IC	Member frequency
GO:0046137	GO:0046137	negative regulation of vitamin metabolic process	4.170e-04	0.000e+00	5.928e+00	1.179e-06
GO:0046137	GO:0060556	regulation of vitamin D biosynthetic process	4.120e-04	0.000e+00	5.878e+00	1.323e-06
GO:0030174	GO:0030174	regulation of DNA-templated DNA replication initiation	7.600e-05	0.000e+00	4.023e+00	9.488e-05
GO:0021761	GO:0021761	limbic system development	1.720e-06	0.000e+00	6.571e+00	2.687e-07
GO:0021761	GO:0048731	system development	1.360e-05	0.000e+00	3.111e+00	7.753e-04
GO:0021761	GO:0072359	circulatory system development	1.260e-06	0.000e+00	5.086e+00	8.209e-06
GO:0021761	GO:0007417	central nervous system development	3.470e-06	0.000e+00	4.630e+00	2.343e-05
GO:0021543	GO:0021543	pallium development	4.070e-07	0.000e+00	6.298e+00	5.038e-07
GO:0021543	GO:0048513	animal organ development	4.990e-07	0.000e+00	3.090e+00	8.125e-04
GO:0021537	GO:0021537	telencephalon development	1.440e-06	0.000e+00	5.380e+00	4.172e-06
GO:0021537	GO:0032502	developmental process	5.630e-05	0.000e+00	2.110e+00	7.761e-03
GO:0021537	GO:0060429	epithelium development	6.150e-06	0.000e+00	3.915e+00	1.217e-04
GO:0021537	GO:0060485	mesenchyme development	2.020e-04	0.000e+00	4.884e+00	1.306e-05
GO:0021537	GO:0048869	cellular developmental process	2.760e-05	0.000e+00	2.636e+00	2.311e-03
GO:0021537	GO:0021766	hippocampus development	3.650e-05	0.000e+00	5.073e+00	8.461e-06
GO:0021537	GO:0048856	anatomical structure development	1.690e-04	0.000e+00	2.453e+00	3.524e-03
GO:0010506	GO:0010506	regulation of autophagy	5.280e-04	0.000e+00	3.679e+00	2.096e-04
GO:0010506	GO:0031329	regulation of cellular catabolic process	2.960e-04	0.000e+00	3.282e+00	5.229e-04
GO:0010506	GO:0031323	regulation of cellular metabolic process	1.200e-09	0.000e+00	1.242e+00	5.725e-02
GO:0010506	GO:0019219	regulation of nucleobase-containing compound metabolic process	3.940e-06	0.000e+00	1.275e+00	5.313e-02
GO:0010506	GO:0051252	regulation of RNA metabolic process	1.280e-04	0.000e+00	1.283e+00	5.216e-02
GO:0006468	GO:0006468	protein phosphorylation	3.700e-05	0.000e+00	2.012e+00	9.726e-03
GO:0006468	GO:0016310	phosphorylation	3.800e-04	0.000e+00	1.451e+00	3.544e-02
GO:0060322	GO:0060322	head development	2.440e-06	0.000e+00	5.304e+00	4.964e-06
GO:0060322	GO:0007399	nervous system development	1.750e-06	0.000e+00	3.550e+00	2.819e-04
GO:0060322	GO:0060541	respiratory system development	1.410e-05	0.000e+00	5.282e+00	5.220e-06
GO:0060322	GO:0007507	heart development	1.320e-06	0.000e+00	4.203e+00	6.263e-05
GO:0060322	GO:0007420	brain development	5.710e-06	0.000e+00	4.184e+00	6.546e-05
GO:0060322	GO:0030324	lung development	3.940e-05	0.000e+00	4.820e+00	1.513e-05
GO:0060322	GO:0030323	respiratory tube development	4.650e-05	0.000e+00	5.647e+00	2.254e-06
GO:0060322	GO:0030900	forebrain development	1.410e-06	0.000e+00	4.794e+00	1.608e-05
GO:0060322	GO:0048468	cell development	6.220e-06	0.000e+00	3.328e+00	4.702e-04
GO:0060322	GO:0002064	epithelial cell development	3.200e-04	0.000e+00	4.516e+00	3.051e-05
GO:0060322	GO:0009653	anatomical structure morphogenesis	2.830e-05	0.000e+00	2.857e+00	1.389e-03
GO:0060322	GO:0031069	hair follicle morphogenesis	9.750e-04	0.000e+00	5.353e+00	4.434e-06
GO:0060322	GO:0048729	tissue morphogenesis	2.430e-04	0.000e+00	3.797e+00	1.595e-04
GO:0060322	GO:0002009	morphogenesis of an epithelium	8.440e-04	0.000e+00	3.887e+00	1.298e-04
GO:0060322	GO:0009887	animal organ morphogenesis	7.740e-04	0.000e+00	3.758e+00	1.745e-04
GO:0060322	GO:0007275	multicellular organism development	4.760e-05	0.000e+00	3.847e+00	1.422e-04
GO:0008283	GO:0008283	cell population proliferation	2.750e-05	0.000e+00	3.691e+00	2.036e-04
GO:2000145	GO:0030334	regulation of cell migration	1.480e-06	0.000e+00	3.634e+00	2.324e-04
GO:2000145	GO:2000145	regulation of cell motility	6.710e-07	0.000e+00	3.560e+00	2.752e-04
GO:2000145	GO:0040012	regulation of locomotion	1.280e-06	0.000e+00	3.479e+00	3.319e-04
GO:2000145	GO:0030335	positive regulation of cell migration	2.950e-05	0.000e+00	3.927e+00	1.183e-04
GO:2000145	GO:2000147	positive regulation of cell motility	4.210e-05	0.000e+00	3.907e+00	1.239e-04
GO:2000145	GO:0040017	positive regulation of locomotion	5.230e-05	0.000e+00	3.876e+00	1.329e-04
GO:0030155	GO:0007162	negative regulation of cell adhesion	5.400e-04	0.000e+00	4.181e+00	6.593e-05
GO:0030155	GO:0030155	regulation of cell adhesion	2.430e-04	0.000e+00	3.375e+00	4.218e-04
GO:0030155	GO:0022407	regulation of cell-cell adhesion	9.550e-04	0.000e+00	3.491e+00	3.231e-04
GO:0031175	GO:0031175	neuron projection development	9.940e-04	0.000e+00	3.588e+00	2.581e-04
GO:0006915	GO:0006915	apoptotic process	3.080e-05	0.000e+00	3.309e+00	4.904e-04
GO:0006915	GO:0012501	programmed cell death	4.860e-05	0.000e+00	3.256e+00	5.544e-04
GO:0006915	GO:0008219	cell death	5.010e-05	0.000e+00	3.248e+00	5.646e-04
GO:0044093	GO:0044093	positive regulation of molecular function	9.470e-06	0.000e+00	3.151e+00	7.065e-04
GO:0044087	GO:0044087	regulation of cellular component biogenesis	1.410e-04	0.000e+00	3.031e+00	9.306e-04
GO:0009967	GO:1902533	positive regulation of intracellular signal transduction	1.160e-06	0.000e+00	3.383e+00	4.138e-04
GO:0009967	GO:0009967	positive regulation of signal transduction	1.810e-07	0.000e+00	3.216e+00	6.082e-04
GO:0009967	GO:0010647	positive regulation of cell communication	3.150e-07	0.000e+00	3.182e+00	6.574e-04
GO:0009967	GO:0023056	positive regulation of signaling	3.220e-07	0.000e+00	3.182e+00	6.574e-04
GO:0009967	GO:0048584	positive regulation of response to stimulus	5.150e-07	0.000e+00	2.971e+00	1.070e-03
GO:0009967	GO:0043410	positive regulation of MAPK cascade	1.180e-04	0.000e+00	3.825e+00	1.496e-04
GO:0009967	GO:0043408	regulation of MAPK cascade	1.190e-04	0.000e+00	3.663e+00	2.173e-04
GO:0009967	GO:1902531	regulation of intracellular signal transduction	1.520e-07	0.000e+00	3.019e+00	9.572e-04
GO:0009967	GO:0009966	regulation of signal transduction	1.350e-07	0.000e+00	2.601e+00	2.505e-03
GO:0009967	GO:0030111	regulation of Wnt signaling pathway	1.600e-06	0.000e+00	3.743e+00	1.807e-04
GO:0009967	GO:0060828	regulation of canonical Wnt signaling pathway	5.030e-05	0.000e+00	4.081e+00	8.299e-05
GO:0009967	GO:0090090	negative regulation of canonical Wnt signaling pathway	3.990e-04	0.000e+00	4.315e+00	4.837e-05
GO:0009967	GO:0023051	regulation of signaling	2.410e-07	0.000e+00	2.564e+00	2.727e-03
GO:0009967	GO:0010646	regulation of cell communication	2.420e-07	0.000e+00	2.568e+00	2.703e-03
GO:0009967	GO:0048583	regulation of response to stimulus	1.120e-06	0.000e+00	2.269e+00	5.377e-03
GO:0022008	GO:0042063	gliogenesis	9.830e-05	0.000e+00	5.614e+00	2.432e-06
GO:0022008	GO:0022008	neurogenesis	3.470e-06	0.000e+00	4.034e+00	9.253e-05
GO:0022008	GO:0048699	generation of neurons	8.450e-05	0.000e+00	4.618e+00	2.408e-05
GO:0022008	GO:0030182	neuron differentiation	4.900e-04	0.000e+00	3.982e+00	1.043e-04
GO:0022008	GO:0010001	glial cell differentiation	1.690e-05	0.000e+00	4.610e+00	2.456e-05
GO:0022008	GO:0030154	cell differentiation	2.750e-05	0.000e+00	2.867e+00	1.359e-03
GO:0022008	GO:0002067	glandular epithelial cell differentiation	8.460e-05	0.000e+00	4.915e+00	1.217e-05
GO:0022008	GO:0048762	mesenchymal cell differentiation	1.760e-04	0.000e+00	4.635e+00	2.318e-05
GO:0042127	GO:0048145	regulation of fibroblast proliferation	4.880e-04	0.000e+00	4.866e+00	1.360e-05
GO:0042127	GO:0042127	regulation of cell population proliferation	1.350e-07	0.000e+00	3.286e+00	5.179e-04
GO:0042127	GO:0048660	regulation of smooth muscle cell proliferation	4.470e-04	0.000e+00	4.722e+00	1.896e-05
GO:0042127	GO:0050678	regulation of epithelial cell proliferation	6.350e-04	0.000e+00	4.145e+00	7.164e-05
GO:0042127	GO:0008285	negative regulation of cell population proliferation	5.840e-05	0.000e+00	3.787e+00	1.632e-04
GO:0042127	GO:0008284	positive regulation of cell population proliferation	2.740e-05	0.000e+00	3.587e+00	2.586e-04
GO:0051726	GO:0051726	regulation of cell cycle	5.950e-05	0.000e+00	2.854e+00	1.399e-03
GO:0051726	GO:0050794	regulation of cellular process	2.450e-08	0.000e+00	9.848e-01	1.036e-01
GO:0042981	GO:0043525	positive regulation of neuron apoptotic process	1.100e-04	0.000e+00	5.190e+00	6.462e-06
GO:0042981	GO:0042981	regulation of apoptotic process	1.500e-06	0.000e+00	3.145e+00	7.165e-04
GO:0042981	GO:0043067	regulation of programmed cell death	2.440e-06	0.000e+00	3.085e+00	8.214e-04
GO:0042981	GO:0043066	negative regulation of apoptotic process	2.010e-05	0.000e+00	3.544e+00	2.858e-04
GO:0042981	GO:0043069	negative regulation of programmed cell death	2.810e-05	0.000e+00	3.529e+00	2.959e-04
GO:0002682	GO:0002682	regulation of immune system process	1.180e-05	0.000e+00	2.541e+00	2.879e-03
GO:0002682	GO:0002694	regulation of leukocyte activation	5.750e-04	0.000e+00	3.435e+00	3.672e-04
GO:0002682	GO:0050865	regulation of cell activation	3.140e-04	0.000e+00	3.424e+00	3.768e-04
GO:0002682	GO:0019222	regulation of metabolic process	2.280e-09	0.000e+00	1.191e+00	6.442e-02
GO:0002682	GO:0010468	regulation of gene expression	2.090e-08	0.000e+00	1.224e+00	5.974e-02
GO:0002682	GO:0060255	regulation of macromolecule metabolic process	1.360e-08	0.000e+00	1.204e+00	6.252e-02
GO:0002682	GO:0080090	regulation of primary metabolic process	1.790e-07	0.000e+00	1.237e+00	5.796e-02
GO:0002682	GO:0065007	biological regulation	2.800e-07	0.000e+00	9.216e-01	1.198e-01
GO:0007166	GO:0007167	enzyme-linked receptor protein signaling pathway	4.000e-04	0.000e+00	3.197e+00	6.353e-04
GO:0007166	GO:0007166	cell surface receptor signaling pathway	1.810e-07	0.000e+00	2.536e+00	2.913e-03
GO:0007166	GO:0035556	intracellular signal transduction	1.230e-07	0.000e+00	1.856e+00	1.392e-02
GO:0007166	GO:0007249	I-kappaB kinase/NF-kappaB signaling	2.060e-05	0.000e+00	4.456e+00	3.498e-05
GO:0007166	GO:0007165	signal transduction	2.210e-07	0.000e+00	1.468e+00	3.407e-02
GO:0007166	GO:0006355	regulation of DNA-templated transcription	1.850e-04	0.000e+00	1.292e+00	5.111e-02
GO:0007166	GO:2001141	regulation of RNA biosynthetic process	1.930e-04	0.000e+00	1.290e+00	5.125e-02
GO:0044419	GO:0044419	biological process involved in interspecies interaction between organisms	6.720e-05	0.000e+00	1.702e+00	1.985e-02
GO:0050793	GO:0022603	regulation of anatomical structure morphogenesis	5.910e-04	0.000e+00	2.354e+00	4.429e-03
GO:0050793	GO:0050793	regulation of developmental process	1.300e-08	0.000e+00	2.273e+00	5.329e-03
GO:0050793	GO:0051094	positive regulation of developmental process	5.190e-05	0.000e+00	3.424e+00	3.769e-04
GO:0050793	GO:0045596	negative regulation of cell differentiation	5.590e-08	0.000e+00	3.838e+00	1.451e-04
GO:0050793	GO:0010721	negative regulation of cell development	7.670e-06	0.000e+00	4.335e+00	4.620e-05
