dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
1	2.703366089969688	0.7100405651741417	1.0273246774719187	-9.159266765388193	2.0794415416798357	6.93e-10	regulation of multicellular organismal process	1. regulation of multicellular organismal process	['GO:0051241', 'GO:0051239', 'GO:0001817', 'GO:0001819', 'GO:2000026', 'GO:0051240', 'GO:1900223']	GO:0051239	0
2	1.429501077631247	2.8198882802107543	0.8177562492077015	-9.036684488613888	1.0986122886681098	9.19e-10	positive regulation of cellular process	2. positive regulation of cellular process	['GO:0048522', 'GO:0048518']	GO:0048522	0
3	2.687377928914239	1.61290099466419	0.757814729921246	-8.96657624451305	1.3862943611198906	1.08e-09	negative regulation of cellular process	3. negative regulation of cellular process	['GO:0048523', 'GO:0031324', 'GO:0031327']	GO:0048523	0
4	2.2905466375892334	2.351422095374799	0.21689643771810407	-8.920818753952375	1.3862943611198906	1.2e-09	regulation of cellular metabolic process	4. regulation of cellular metabolic process	['GO:0031323', 'GO:0019219', 'GO:0051252']	GO:0031323	0
5	2.257604714412556	2.3023044179845633	0.17477301875200554	-8.642065152999546	1.6094379124341003	2.28e-09	regulation of metabolic process	5. regulation of metabolic process	['GO:0019222', 'GO:0010468', 'GO:0060255', 'GO:0080090']	GO:0019222	0
6	1.572317998985259	2.7747127957752915	0.8663859557814273	-8.623423042943488	1.3862943611198906	2.38e-09	positive regulation of macromolecule metabolic process	6. positive regulation of macromolecule metabolic process	['GO:0010628', 'GO:0010604', 'GO:0009893']	GO:0010604	0
7	1.5195572640886403	2.7925048106153434	0.9832390190458155	-8.52432881167557	1.6094379124341003	2.99e-09	positive regulation of cellular biosynthetic process	7. positive regulation of cellular biosynthetic process	['GO:0031328', 'GO:0010557', 'GO:0009891', 'GO:0031325']	GO:0031328	0
8	2.6174588005036457	1.6674195571030406	0.6255792438345318	-8.183758700008218	1.6094379124341003	6.55e-09	negative regulation of biological process	8. negative regulation of biological process	['GO:0048519', 'GO:0009892', 'GO:0010605', 'GO:0010629']	GO:0048519	0
9	2.2427454689143613	2.2755366396339536	0.2347823051563593	-7.94692155651658	1.3862943611198906	1.13e-08	regulation of biosynthetic process	9. regulation of biosynthetic process	['GO:0009889', 'GO:0031326', 'GO:0010556']	GO:0009889	0
10	2.2938343523162192	1.013641998247168	0.8212527238579007	-7.886056647693163	2.3978952727983707	1.3e-08	regulation of developmental process	10. regulation of developmental process	['GO:1901861', 'GO:0050793', 'GO:0022603', 'GO:0051094', 'GO:0045597', 'GO:0045596', 'GO:0051093', 'GO:0045595', 'GO:0045664', 'GO:0060284']	GO:0050793	0
11	0.38940847837053466	-2.719106777899165	0.27410483422979837	-7.785156151952302	2.3978952727983707	1.64e-08	response to stimulus	11. response to stimulus	['GO:0009605', 'GO:0050896', 'GO:0006950', 'GO:0006979', 'GO:0051716', 'GO:0033554', 'GO:0009607', 'GO:0043207', 'GO:0051707', 'GO:0009617']	GO:0050896	0
12	2.1878663621932732	2.240644939397513	-0.01531382427935509	-7.610833915635467	1.0986122886681098	2.45e-08	regulation of cellular process	12. regulation of cellular process	['GO:0050794', 'GO:0050789']	GO:0050794	0
13	0.645478936785764	-3.3643175085438264	1.137150446160373	-7.2564902352715706	2.0794415416798357	5.54e-08	cellular response to chemical stimulus	13. cellular response to chemical stimulus	['GO:0062197', 'GO:0070887', 'GO:0071310', 'GO:0042221', 'GO:0035094', 'GO:0010035', 'GO:0010033']	GO:0070887	0
14	1.6373970799336846	1.7308500294371854	0.6185542244216503	-6.910094888560602	1.6094379124341003	1.23e-07	intracellular signal transduction	14. intracellular signal transduction	['GO:0007249', 'GO:0035556', 'GO:0038061', 'GO:0007165']	GO:0035556	0
15	1.6403722924241055	0.8327836775202713	1.1896057638002755	-6.8696662315049934	2.3978952727983707	1.35e-07	regulation of cell population proliferation	15. regulation of cell population proliferation	['GO:0048145', 'GO:0042127', 'GO:2000177', 'GO:1902692', 'GO:0072091', 'GO:0050678', 'GO:0008285', 'GO:0008284', 'GO:0070663', 'GO:0032944']	GO:0042127	0
16	1.512545953037921	2.7182161230483954	0.9277474852960506	-6.856985199745905	1.3862943611198906	1.39e-07	positive regulation of nitrogen compound metabolic process	16. positive regulation of nitrogen compound metabolic process	['GO:0051247', 'GO:0051173', 'GO:0045935']	GO:0051173	0
17	1.1298924356026916	2.039260083370795	1.1049266367634025	-6.818156412055227	2.4849066497880004	1.52e-07	regulation of intracellular signal transduction	17. regulation of intracellular signal transduction	['GO:0043122', 'GO:1902531', 'GO:0009966', 'GO:1902532', 'GO:0023051', 'GO:0023057', 'GO:0048583', 'GO:0060759', 'GO:0080134', 'GO:0032101', 'GO:0048585']	GO:1902531	0
18	1.0430318648781651	2.8871979913552783	1.1681277359536109	-6.7423214251308154	1.791759469228055	1.81e-07	positive regulation of signal transduction	18. positive regulation of signal transduction	['GO:1902533', 'GO:0009967', 'GO:0010647', 'GO:0023056', 'GO:0048584']	GO:0009967	0
19	1.3263767037562817	1.57856398795747	0.930472269370232	-6.7423214251308154	1.791759469228055	1.81e-07	cell surface receptor signaling pathway	19. cell surface receptor signaling pathway	['GO:0007167', 'GO:0007166', 'GO:0019221', 'GO:0060070', 'GO:0016055']	GO:0007166	0
20	1.3830165413906021	2.030378208061245	0.9431814284772281	-6.616184634019569	1.3862943611198906	2.42e-07	regulation of cell communication	20. regulation of cell communication	['GO:0010646', 'GO:0010648', 'GO:0009968']	GO:0010646	0
21	-2.566260742454958	-0.44094802143010725	1.8401866958263124	-6.39040559077478	1.3862943611198906	4.07e-07	pallium development	21. pallium development	['GO:0021543', 'GO:0048513', 'GO:0048806']	GO:0021543	0
22	0.8068881652630752	1.0312831677849972	1.2698667513210715	-6.1732774798310075	1.6094379124341003	6.71e-07	regulation of cell motility	22. regulation of cell motility	['GO:0030334', 'GO:2000145', 'GO:0030336', 'GO:0040012']	GO:2000145	0
23	-2.910102843953228	-0.5277327131887475	1.6264334595776677	-5.8996294548824375	1.3862943611198906	1.26e-06	circulatory system development	23. circulatory system development	['GO:0072359', 'GO:0007417', 'GO:0001944']	GO:0072359	0
24	-3.224305342876316	-0.44470218418701335	1.4358563177474009	-5.87942606879415	2.0794415416798357	1.32e-06	heart development	24. heart development	['GO:0007507', 'GO:0007420', 'GO:0030324', 'GO:0030879', 'GO:0051216', 'GO:0043588', 'GO:0048568']	GO:0007507	0
25	-2.9787900705910637	-0.36963145007239606	1.567311263003858	-5.85078088734462	2.1972245773362196	1.41e-06	forebrain development	25. forebrain development	['GO:0030900', 'GO:0048468', 'GO:0021536', 'GO:0021782', 'GO:0014044', 'GO:0002064', 'GO:0002066', 'GO:0002068']	GO:0030900	0
26	-2.7875341200786936	-0.4068229421263121	1.6826295567183525	-5.841637507904751	1.791759469228055	1.44e-06	telencephalon development	26. telencephalon development	['GO:0021537', 'GO:0032502', 'GO:0060021', 'GO:0002088', 'GO:0021987']	GO:0021537	0
27	1.0868577643801147	1.6336137423635484	1.1457470769799973	-5.823908740944319	1.3862943611198906	1.5e-06	regulation of apoptotic process	27. regulation of apoptotic process	['GO:1904035', 'GO:0042981', 'GO:0043067']	GO:0042981	0
28	0.7846884643440816	1.6000056647512773	1.3199129560186005	-5.795880017344075	1.791759469228055	1.6e-06	regulation of Wnt signaling pathway	28. regulation of Wnt signaling pathway	['GO:0030178', 'GO:0030111', 'GO:0060828', 'GO:0090090', 'GO:0030177']	GO:0030111	0
29	-2.5382180903198965	-0.5295524313884792	1.8826226820127951	-5.764471553092451	1.0986122886681098	1.72e-06	limbic system development	29. limbic system development	['GO:0021761', 'GO:0048731']	GO:0021761	0
30	0.947845476303954	0.8262123890156344	1.1740255470160599	-5.696803942579511	1.0986122886681098	2.01e-06	signaling	30. signaling	['GO:0198738', 'GO:0023052']	GO:0023052	0
31	1.8667509705373793	-0.03584344077677591	1.5336131436993354	-5.623423042943488	1.3862943611198906	2.38e-06	regulation of osteoblast differentiation	31. regulation of osteoblast differentiation	['GO:0045668', 'GO:0045667', 'GO:0045669']	GO:0045667	0
32	-2.818251198314402	-0.4801442191752372	1.668485900614848	-5.61261017366127	1.6094379124341003	2.44e-06	head development	32. head development	['GO:0060322', 'GO:0007399', 'GO:0060541', 'GO:0035270']	GO:0060322	0
33	2.5459462377577107	1.6503499476184704	0.8970676489125159	-5.54515513999149	1.3862943611198906	2.85e-06	negative regulation of macromolecule biosynthetic process	33. negative regulation of macromolecule biosynthetic process	['GO:0009890', 'GO:0010558', 'GO:1902679']	GO:0010558	0
34	0.15208225596131209	-1.583695377520365	0.9444415132042171	-5.46344155742847	1.3862943611198906	3.44e-06	immune system process	34. immune system process	['GO:0002376', 'GO:0046649', 'GO:0045321']	GO:0002376	0
35	-3.311759907105813	-0.04334961552346844	1.3946917189669001	-5.459670525209126	1.3862943611198906	3.47e-06	neurogenesis	35. neurogenesis	['GO:0042063', 'GO:0022008', 'GO:0048699']	GO:0022008	0
36	-3.2956259289243155	-0.3647032495364793	1.3647634182853088	-5.211124884224583	1.791759469228055	6.15e-06	epithelium development	36. epithelium development	['GO:0060428', 'GO:0060429', 'GO:0021915', 'GO:0098773', 'GO:0008544']	GO:0060429	0
37	0.5419791764415037	-3.3419342272671337	1.4348026964045306	-5.210419287835575	1.3862943611198906	6.16e-06	cellular response to organic cyclic compound	37. cellular response to organic cyclic compound	['GO:0071407', 'GO:0014070', 'GO:0043331']	GO:0071407	0
38	-0.6683237881513485	-1.112043264852553	0.9068392377931994	-5.199970640755866	0.6931471805599453	6.31e-06	cell communication	38. cell communication	['GO:0007154']	GO:0007154	0
39	0.009737176729511882	-3.1128521830451765	1.3170244046891266	-5.169411331314856	1.6094379124341003	6.77e-06	cellular response to endogenous stimulus	39. cellular response to endogenous stimulus	['GO:0071495', 'GO:0009719', 'GO:0032870', 'GO:0009725']	GO:0071495	0
40	2.734082623555201	0.39883715504705863	1.4668010932353501	-5.115204636051019	1.0986122886681098	7.67e-06	negative regulation of cell development	40. negative regulation of cell development	['GO:0010721', 'GO:0050768']	GO:0010721	0
41	0.6243871609857188	-3.384217752249507	1.2984259602677037	-5.105683937315561	1.3862943611198906	7.84e-06	cellular response to oxygen-containing compound	41. cellular response to oxygen-containing compound	['GO:1901701', 'GO:1901700', 'GO:0000302']	GO:1901701	0
42	1.3841471525945572	0.6222810275061896	1.147678893822259	-5.023650020996726	1.3862943611198906	9.47e-06	positive regulation of molecular function	42. positive regulation of molecular function	['GO:0044093', 'GO:0043085', 'GO:0051347']	GO:0044093	0
43	1.9224173703721283	1.3553993483537172	0.9324634449079839	-4.928117992693875	1.6094379124341003	1.18e-05	regulation of immune system process	43. regulation of immune system process	['GO:0002683', 'GO:0002682', 'GO:0050776', 'GO:0002684']	GO:0002682	0
44	2.12943063473662	0.05222889462848154	1.6526797868431617	-4.844663962534939	1.0986122886681098	1.43e-05	negative regulation of steroid biosynthetic process	44. negative regulation of steroid biosynthetic process	['GO:0010894', 'GO:0045939']	GO:0010894	0
45	-1.6076036543973735	-2.0930164229602255	0.9256034948600002	-4.82102305270683	1.9459101490553132	1.51e-05	multicellular organismal process	45. multicellular organismal process	['GO:0009950', 'GO:0032501', 'GO:0007275', 'GO:0009790', 'GO:0009792', 'GO:0043009']	GO:0032501	0
46	0.6712597873216329	-3.0715388748006265	1.373776533559306	-4.801342913045577	1.0986122886681098	1.58e-05	response to cytokine	46. response to cytokine	['GO:0034097', 'GO:0071345']	GO:0034097	0
