#LCA	miRNA_family	max_present	present	losses
Vertebrata	Mir-8	402	402	0
Vertebrata	Mir-30	402	402	0
Vertebrata	Mir-137	402	381	21
Vertebrata	Mir-190	402	402	0
Vertebrata	Mir-9	402	401	1
Vertebrata	Mir-199	402	402	0
Vertebrata	Mir-181	402	402	0
Vertebrata	Mir-135	402	402	0
Vertebrata	Mir-29	402	402	0
Vertebrata	Mir-194	402	399	3
Vertebrata	Mir-103	402	402	0
Vertebrata	Mir-129	402	366	36
Vertebrata	Mir-130	402	402	0
Vertebrata	Mir-10	402	402	0
Vertebrata	Let-7	402	402	0
Vertebrata	Mir-196	402	389	13
Vertebrata	Mir-148	402	374	28
Vertebrata	Mir-17	402	402	0
Vertebrata	Mir-19	402	402	0
Vertebrata	Mir-203	402	319	83
Vertebrata	Mir-7	402	401	1
Vertebrata	Mir-193	402	402	0
Vertebrata	Mir-140	402	383	19
Vertebrata	Mir-132	402	341	61
Vertebrata	Mir-451	402	363	39
Vertebrata	Mir-142	402	390	12
Vertebrata	Mir-338	402	361	41
Vertebrata	Mir-133	402	402	0
Vertebrata	Mir-1	402	402	0
Vertebrata	Mir-24	402	373	29
Vertebrata	Mir-23	402	402	0
Vertebrata	Mir-217	402	377	25
Vertebrata	Mir-128	402	401	1
Vertebrata	Mir-153	402	402	0
Vertebrata	Mir-124	402	389	13
Vertebrata	Mir-218	402	391	11
Vertebrata	Mir-143	402	387	15
Vertebrata	Mir-219	402	365	37
Vertebrata	Mir-96	402	385	17
Vertebrata	Mir-455	402	401	1
Vertebrata	Mir-221	402	400	2
Vertebrata	Mir-3187	402	228	174
Gnathostomata	Mir-551	401	286	115
Gnathostomata	Mir-34	401	401	0
Gnathostomata	Mir-101	401	401	0
Gnathostomata	Mir-92	401	401	0
Gnathostomata	Mir-214	401	401	0
Gnathostomata	Mir-205	401	398	3
Gnathostomata	Mir-202	401	388	13
Gnathostomata	Mir-210	401	238	163
Gnathostomata	Mir-192	401	302	99
Gnathostomata	Mir-139	401	340	61
Gnathostomata	Mir-26	401	401	0
Gnathostomata	Mir-15	401	401	0
Gnathostomata	Mir-204	401	401	0
Gnathostomata	Mir-147	401	324	77
Gnathostomata	Mir-184	401	369	32
Gnathostomata	Mir-138	401	401	0
Gnathostomata	Mir-22	401	380	21
Gnathostomata	Mir-144	401	361	40
Gnathostomata	Mir-21	401	330	71
Gnathostomata	Mir-122	401	400	1
Gnathostomata	Mir-27	401	401	0
Gnathostomata	Mir-216	401	389	12
Gnathostomata	Mir-499	401	391	10
Gnathostomata	Mir-155	401	325	76
Gnathostomata	Mir-145	401	382	19
Gnathostomata	Mir-31	401	375	26
Gnathostomata	Mir-32	401	284	117
Gnathostomata	Mir-126	401	392	9
Gnathostomata	Mir-223	401	398	3
Euteleostomi	Mir-1287	396	197	199
Euteleostomi	Mir-208	396	214	182
Euteleostomi	Mir-187	396	305	91
Euteleostomi	Mir-375	396	257	139
Euteleostomi	Mir-33	396	281	115
Euteleostomi	Mir-875	396	213	183
Euteleostomi	Mir-95	396	155	241
Euteleostomi	Mir-489	396	348	48
Euteleostomi	Mir-374	396	140	256
Sarcopterygii	Mir-599	282	228	54
Tetrapoda	Mir-425	281	231	50
Tetrapoda	Mir-191	281	202	79
Tetrapoda	Mir-430	281	268	13
Tetrapoda	Mir-383	281	279	2
Tetrapoda	Mir-459	281	204	77
Amniota	Mir-4677	274	178	96
Amniota	Mir-146	274	240	34
Amniota	Mir-490	274	274	0
Mammalia	Mir-186	161	160	1
Mammalia	Mir-873	161	156	5
Mammalia	Mir-378	161	154	7
Mammalia	Mir-1271	161	141	20
Mammalia	Mir-592	161	156	5
Mammalia	Mir-671	161	155	6
