Gene name,adipocyte,artery,bladder,bone,bowel_colon,bowel_duodenum,bowel_jejunum,bowel_small_intestine,brain_arachnoid_matter,brain_cerebellum,brain_dura_matter,brain_frontal_lobe,brain_grey_matter,brain_nucleus_caudatus,brain_occipital,brain_pituitary,brain_temporal_lobe,brain_thalamus,brain_white_matter,esophagus,gallbladder,heart,heart_atrium,heart_muscle,heart_pericardium,heart_ventricle,kidney,liver,lung,lymph_nodes,muscle,nerve,pancreas,placenta,pleurae,skin,spinal_cord,spleen,stomach,submandibular_gland,testis,thyroid,tongue,trachea,vein
Hsa-Let-7-P1d_pri,69760.44,34650.50,18226.13,32154.64,31863.88,48757.19,103124.35,34434.53,79162.30,37187.13,86560.93,63107.94,64828.28,50115.57,56570.64,28014.37,76791.92,31960.26,82468.52,53708.71,41509.08,46300.44,54372.63,31310.29,65376.34,46606.05,49330.33,37185.31,78223.23,44889.05,25813.53,59006.64,65373.55,13344.39,67583.88,93402.81,70937.19,69525.48,35799.50,59201.07,75962.44,32970.84,59933.58,68423.37,54626.87
Hsa-Let-7-P1b_pri,3090.08,2353.87,1486.77,810.85,2022.61,3093.73,4064.97,2403.59,6450.20,1520.61,3108.37,4567.21,4556.77,3945.17,3711.91,4590.15,3483.15,1964.49,5364.67,2344.92,2645.02,2254.12,2645.01,1644.44,2988.85,2248.40,2748.23,1294.47,3401.01,2538.49,944.81,4711.80,2830.06,1087.48,3599.75,2418.64,4274.81,4805.93,1929.98,2365.36,5018.57,1525.35,1849.50,2395.91,2647.80
Hsa-Let-7-P1c_pri,10041.82,4768.32,4692.59,3033.39,1341.54,6421.38,17319.51,4692.11,20600.97,1393.56,3926.07,11062.23,8183.79,8272.03,5516.65,6729.92,10925.55,5204.19,9951.47,6508.36,9583.46,7612.38,4608.56,5904.41,16113.33,3622.90,7406.62,5171.69,8470.41,6698.32,3167.95,10938.15,5050.28,193.03,9907.31,12861.35,7222.59,6065.69,5886.85,11693.98,22576.93,6224.51,6760.27,9517.40,7004.83
Hsa-Let-7-P2a1_pri,69753.21,34643.34,18222.02,32151.95,31863.28,48751.15,103106.28,34429.24,79188.33,37192.69,86565.07,63110.89,64816.01,50108.29,56578.39,28011.90,76776.30,31960.77,82453.63,53712.98,41498.27,46303.79,54377.67,31315.97,65365.78,46619.71,49327.70,37199.46,78212.95,44880.72,25816.08,58997.09,65374.31,13350.29,67572.00,93418.43,70926.81,69514.17,35793.29,59191.22,75945.52,32963.40,59934.78,68414.30,54638.49
Hsa-Let-7-P2a2_pri,69892.00,34688.53,18241.63,32188.30,31885.18,48887.54,103155.41,34465.77,79214.89,37217.57,86627.29,63249.43,64905.43,50265.58,56675.81,28089.40,76894.69,32023.91,82706.89,53744.96,41542.23,46348.94,54422.41,31344.87,65442.93,46660.56,49394.15,37202.51,78292.69,44927.05,25865.97,59121.46,65412.04,13363.10,67658.46,93478.94,71243.15,69722.70,35828.35,59225.77,76031.48,32988.50,60007.53,68464.39,54692.61
Hsa-Let-7-P2a3_pri,27296.24,13648.29,8963.00,16532.83,20409.04,20096.76,37884.03,13759.33,30392.50,18256.54,50809.76,36043.22,26051.68,23526.14,34078.80,16303.41,36026.06,18689.73,34013.19,28561.09,16894.31,27345.51,32537.06,21057.40,26747.30,37246.58,26626.51,24073.62,31573.17,20457.09,16895.27,25179.27,23550.70,2210.39,30798.37,23432.76,30097.36,34229.21,15281.34,19003.04,50434.61,19101.25,22197.10,25273.01,29434.98
Hsa-Let-7-P2b1_pri,26887.31,13512.68,8882.43,16288.15,20060.54,19845.32,37228.34,13612.91,29765.35,17841.81,49939.46,35470.51,25879.70,23302.86,33272.77,16055.25,35549.46,18344.79,33692.13,28038.86,16765.54,26699.82,31683.82,20507.93,26418.54,36175.30,26186.66,23440.10,31187.76,20303.58,16512.22,24875.20,23214.19,2148.03,30414.10,22868.92,29799.94,34012.95,15107.06,18750.60,50151.47,18888.43,21749.84,24857.00,28584.36
Hsa-Let-7-P2b2_pri,27623.58,17547.63,11818.85,16889.83,11143.55,21478.53,31696.51,17917.27,30448.91,14318.73,26942.63,17512.65,23108.75,17309.49,14110.53,8936.70,24648.46,11576.37,31296.02,19578.88,24162.52,15810.34,10373.80,12097.84,30865.71,10561.53,29374.67,9560.96,39971.85,18688.24,8766.19,21059.42,40913.14,306.87,24100.66,32704.86,29715.74,28508.93,22957.22,28836.57,43690.38,13804.31,16877.96,19971.78,21028.82
Hsa-Let-7-P2b3_pri,2184.99,964.76,630.19,973.20,972.62,2046.71,892.42,733.00,1239.78,1412.61,2141.17,3286.85,2142.20,2360.15,2520.81,1470.98,2121.42,2154.72,3042.05,1328.93,1209.26,1509.84,1656.08,1166.14,1685.64,1926.51,1472.92,861.79,1558.98,730.77,745.58,2132.49,969.93,144.92,1298.84,1310.47,3070.39,3361.41,898.97,815.60,1093.05,867.20,1417.94,579.60,2096.88
Hsa-Let-7-P2c1_pri,5475.41,3738.71,2157.35,3793.76,4495.65,4307.77,3849.17,3143.93,5116.97,6006.18,10860.93,7017.96,5261.56,4649.04,9793.14,2494.56,7426.78,5718.01,6762.67,5590.18,3927.39,5084.33,6197.17,3136.36,5184.44,8336.34,3982.06,3351.44,7137.25,3535.51,3384.94,5088.91,3691.94,64.98,5162.01,3313.17,6114.13,5684.04,2769.43,2969.64,6862.95,3711.90,3140.92,3374.85,8793.25
