mirfam,expression
conserved,2.228114
conserved,1.490479
conserved,1.767021
conserved,2.213126
conserved,1.364561
conserved,1.535438
conserved,1.240936
conserved,0.982004
conserved,3.949822
conserved,3.915909
conserved,3.859225
conserved,1.320053
conserved,1.290296
conserved,1.913893
conserved,1.311762
conserved,1.061539
conserved,1.807806
conserved,0.9755
conserved,2.007859
conserved,1.093276
conserved,0.933395
conserved,0.903505
conserved,1.098451
conserved,0.895199
conserved,2.332896
conserved,3.114199
conserved,2.745199
conserved,1.436166
conserved,1.674279
conserved,1.585553
conserved,2.081842
conserved,0.884834
conserved,0.627761
conserved,1.121308
conserved,0.907328
conserved,0.788822
conserved,1.106082
conserved,1.641888
conserved,1.347434
conserved,1.460421
conserved,0.841099
conserved,0.780366
conserved,0.567102
conserved,0.795103
conserved,0.843969
conserved,1.046369
conserved,0.792291
conserved,1.108702
conserved,0.756932
conserved,2.322529
conserved,0.819644
conserved,1.888742
conserved,1.06846
conserved,1.131235
conserved,1.270005
conserved,0.839272
conserved,5.77352
conserved,7.651306
conserved,5.718031
conserved,5.314344
conserved,0.666033
conserved,0.785023
conserved,0.726942
conserved,0.888563
conserved,5.335007
conserved,6.501367
conserved,5.406087
conserved,3.913861
conserved,1.813328
conserved,2.706888
conserved,1.528246
conserved,1.484764
conserved,1.139162
conserved,1.627148
conserved,1.315021
conserved,2.22747
conserved,11.331803
conserved,11.962455
conserved,11.342568
conserved,11.700977
conserved,10.4378
conserved,11.234179
conserved,10.393435
conserved,10.879916
Eutherian,3.559691
Eutherian,4.967799
Eutherian,3.609313
Eutherian,1.727431
Eutherian,5.212579
Eutherian,5.57578
Eutherian,5.884998
Eutherian,4.601188
conserved,1.111191
conserved,0.561587
conserved,0.655142
conserved,0.738004
conserved,0.732186
conserved,0.705643
conserved,0.666333
conserved,0.838846
conserved,9.034154
conserved,10.639302
conserved,8.387135
conserved,10.032048
Eutherian,1.238176
Eutherian,1.218058
Eutherian,0.87836
Eutherian,0.875031
Eutherian,2.210065
Eutherian,3.353821
Eutherian,2.764145
Eutherian,2.135742
conserved,0.727537
conserved,0.946046
conserved,0.617749
conserved,0.863241
conserved,3.965794
conserved,5.05548
conserved,4.118203
conserved,4.561513
Eutherian,1.180414
Eutherian,1.131181
Eutherian,1.661843
Eutherian,1.180236
Mir-1277,0.597609
Mir-1277,0.794092
Mir-1277,0.650591
Mir-1277,0.604295
conserved,5.018104
conserved,2.295301
conserved,4.026378
conserved,3.952696
conserved,3.437729
conserved,1.295118
conserved,3.247461
conserved,1.439753
Mir-1296,4.03171
Mir-1296,4.971875
Mir-1296,3.9465
Mir-1296,2.712745
Eutherian,0.905569
Eutherian,0.730178
Eutherian,0.810071
Eutherian,0.75982
conserved,7.44235
conserved,7.822254
conserved,7.222796
conserved,8.114582
conserved,8.588096
conserved,8.946798
conserved,8.564477
conserved,8.61603
conserved,2.235649
conserved,0.952346
conserved,1.947638
conserved,3.943052
conserved,1.19091
conserved,0.926337
conserved,1.254571
conserved,0.94345
conserved,1.601193
conserved,1.342981
conserved,1.255689
conserved,0.940813
Eutherian,4.470256
Eutherian,5.276656
Eutherian,4.898192
Eutherian,4.347138
Mir-1307,7.968472
Mir-1307,6.881707
Mir-1307,7.655231
Mir-1307,7.050082
conserved,1.005964
conserved,0.785023
conserved,1.260988
conserved,1.262119
conserved,1.395899
conserved,1.674556
conserved,1.07357
conserved,1.782481
conserved,1.095427
conserved,1.104825
conserved,0.945158
conserved,1.273521
conserved,1.326995
conserved,1.722378
conserved,1.437221
conserved,1.161965
Eutherian,2.846528
Eutherian,1.323015
Eutherian,1.916631
Eutherian,1.570098
Eutherian,3.710608
Eutherian,1.298673
Eutherian,2.524662
Eutherian,1.224722
conserved,1.503579
conserved,1.608463
conserved,1.48568
conserved,1.854898
conserved,1.260228
conserved,1.510785
conserved,1.158381
conserved,1.307439
Eutherian,0.831204
Eutherian,1.128963
Eutherian,1.09043
Eutherian,1.443657
conserved,1.089076
conserved,0.729064
conserved,1.011887
conserved,0.981213
conserved,6.239195
conserved,7.499264
conserved,6.311477
conserved,5.771014
conserved,3.273967
conserved,3.090325
conserved,2.406139
conserved,2.619632
conserved,5.679053
conserved,6.227174
conserved,5.771206
conserved,5.571064
conserved,0.551005
conserved,0.757536
conserved,0.630524
conserved,0.680272
conserved,0.643445
conserved,0.67551
conserved,0.74618
conserved,0.570774
conserved,0.598175
conserved,1.072712
conserved,0.635121
conserved,0.539775
conserved,0.983197
conserved,0.915582
conserved,0.74971
conserved,0.836955
conserved,1.60032
conserved,2.211359
conserved,1.851785
conserved,1.437647
conserved,1.544425
conserved,0.934103
conserved,1.569835
conserved,1.057411
conserved,5.195166
conserved,3.484163
conserved,4.145732
conserved,4.987668
conserved,1.66171
conserved,1.355936
conserved,0.759091
conserved,1.556338
conserved,1.795916
conserved,2.167626
conserved,1.854425
conserved,1.512175
Eutherian,4.045868
Eutherian,5.384222
Eutherian,3.819349
Eutherian,2.708572
conserved,2.991788
conserved,3.252877
conserved,1.470086
conserved,2.873675
conserved,6.320883
conserved,6.754576
conserved,6.08495
conserved,4.663815
conserved,1.320266
conserved,1.231059
conserved,1.054655
conserved,0.972713
conserved,0.815126
conserved,1.030926
conserved,0.810071
conserved,0.894884
conserved,8.770494
conserved,9.355194
conserved,8.554191
conserved,9.346592
conserved,5.042723
conserved,3.754558
conserved,4.74541
conserved,5.130187
conserved,5.125855
conserved,6.812549
conserved,5.036463
conserved,5.56627
Eutherian,0.775257
Eutherian,1.336266
Eutherian,1.888957
Eutherian,0.969706
conserved,0.982558
conserved,1.587996
conserved,1.308711
conserved,1.604093
Eutherian,0.754733
