UniProtKB/Swiss-Prot ID	UniProtKB/TrEMBL ID	Gene stable ID
P08048		ENSG00000067646
	C9JQM1	ENSG00000067646
	F8VZL7	ENSG00000156273
O14867		ENSG00000156273
	C9IYR0	ENSG00000156273
	C9JMP6	ENSG00000156273
	C9IYH8	ENSG00000156273
	H7C4B6	ENSG00000156273
	M0QZP0	ENSG00000156273
	A0A0D9SG85	ENSG00000120690
P32519	A0A024RDU6	ENSG00000120690
P32519		ENSG00000120690
	A0A0U1RRL5	ENSG00000120690
	Q5T9E7	ENSG00000120690
P15036		ENSG00000157557
	A0A590UJR2	ENSG00000157557
	A0A590UJP9	ENSG00000157557
	A0A0C4DG47	ENSG00000157557
	C9JAG2	ENSG00000157557
Q13887	Q5T6X2	ENSG00000102554
Q13887		ENSG00000102554
Q01851		ENSG00000152192
Q14190		ENSG00000159263
	H7BZX8	ENSG00000159263
	V9GY04	ENSG00000159263
Q12778		ENSG00000150907
	E7ER26	ENSG00000141956
P57071		ENSG00000141956
	Q4W8S1	ENSG00000141956
	A0A6Q8PFK1	ENSG00000141956
	E7EPN6	ENSG00000160199
P55347	Q96I87	ENSG00000160199
	H0YM69	ENSG00000160199
O95096		ENSG00000125820
O75132		ENSG00000100426
Q06546	A8IE48	ENSG00000154727
Q9H2Z4		ENSG00000125816
Q6P1L6		ENSG00000088876
	A0A0A0MSR0	ENSG00000088876
	A0A669KB96	ENSG00000088876
	A0A0A0MT63	ENSG00000088876
	A0A087WZQ2	ENSG00000088876
Q92618		ENSG00000101493
	A0A087WUJ4	ENSG00000101493
	H0YH41	ENSG00000101493
	F5H2K2	ENSG00000101493
Q9Y6Q9		ENSG00000124151
O43918		ENSG00000160224
Q99612		ENSG00000067082
Q15475		ENSG00000126778
	H0YK85	ENSG00000126778
O60870		ENSG00000151657
	S4R357	ENSG00000151657
Q6NT76		ENSG00000147421
	E5RHH9	ENSG00000147421
	H0YKJ1	ENSG00000147421
	H0YLF2	ENSG00000147421
	E5RGZ2	ENSG00000147421
	H0YBM8	ENSG00000147421
Q9UIU6		ENSG00000100625
	G3V2N2	ENSG00000100625
Q12986		ENSG00000086102
Q9NTW7		ENSG00000020256
	H0Y669	ENSG00000020256
	A2A2N5	ENSG00000020256
	A2A2N6	ENSG00000020256
Q99801		ENSG00000167034
Q9UJQ4		ENSG00000101115
	Q6Y8G5	ENSG00000101115
Q8IYA7		ENSG00000150051
	H0YKC7	ENSG00000150051
	H0YMU2	ENSG00000150051
A6NJT0		ENSG00000164853
P28360		ENSG00000163132
	A0A087WXG3	ENSG00000125533
Q8NDY6		ENSG00000125533
Q92754		ENSG00000087510
	A2A2R7	ENSG00000087510
P50222		ENSG00000106511
Q8WYK2	A0A024R6D7	ENSG00000140044
	H0YKE4	ENSG00000140044
Q8WYK2		ENSG00000140044
P85037		ENSG00000164916
	U3KQ26	ENSG00000164916
O95409	A0A024RDY6	ENSG00000043355
Q96T25		ENSG00000139800
P52945		ENSG00000139515
Q13469		ENSG00000101096
Q10587		ENSG00000167074
	H0Y797	ENSG00000167074
Q9P2Z0		ENSG00000129028
	H0YN95	ENSG00000129028
	B5MDW0	ENSG00000157554
	A8MX39	ENSG00000157554
P11308		ENSG00000157554
	A8MZ24	ENSG00000157554
	A0A0C4DG41	ENSG00000157554
Q96T68	A0A087WYZ9	ENSG00000136169
Q96T68		ENSG00000136169
Q9BWX5		ENSG00000130700
	K7EMM8	ENSG00000140632
	K7ELL0	ENSG00000140632
Q49A26		ENSG00000140632
	K7EK70	ENSG00000140632
	K7EQB2	ENSG00000140632
