Organism	mirna	transcript	CTL	197-3p	769-5p
human	mir197	3p	1	2469.49	0.37
human	mir197	3p	0.41	1891.09	1.27
human	mir197	3p	0.42	1601.27	0.32
human	mir197	5p	1	0.42	0.48
human	mir197	5p	0.56	0.37	0.78
human	mir197	5p	0.56	0.57	0.69
human	mir769	3p	1	0.73	0.39
human	mir769	3p	0.26	0.4	1.08
human	mir769	3p	0.98	0.35	1.26
human	mir769	5p	1	1.78	85.04
human	mir769	5p	0.84	0.11	105.42
human	mir769	5p	1.81	0.78	91.75
mouse	mir197	3p	1.6	62.03	0.91
mouse	mir197	3p	1	103.61	1.49
mouse	mir197	3p	0.93	124.5	0.35
mouse	mir197	3p	0.48	78.79	0.36
mouse	mir197	5p	1.22	0.38	1.1
mouse	mir197	5p	1	0.7	0.48
mouse	mir197	5p	0.74	0.83	0.44
mouse	mir197	5p	0.56	0.5	0.33
mouse	mir769	3p	1.77	0.55	0.93
mouse	mir769	3p	1	0.94	1.21
mouse	mir769	3p	0.97	1.1	0.75
mouse	mir769	3p	0.63	0.55	0.42
mouse	mir769	5p	1.43	1.33	12.08
mouse	mir769	5p	1	3.13	10.3
mouse	mir769	5p	2.59	2.56	12.38
mouse	mir769	5p	2.75	2.33	8.25
