gained_in	number_orthologs	maximum_number	fraction	strict_core	conserved_min_95percent
Mammalia	142	169	0.8402366863905325	False	False
Mammalia	169	169	1.0	True	True
Mammalia	168	169	0.9940828402366864	False	True
Theria	163	167	0.9760479041916168	False	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	67	169	0.39644970414201186	False	False
Mammalia	163	169	0.9644970414201184	False	True
Theria	166	167	0.9940119760479041	False	True
Mammalia	156	169	0.9230769230769231	False	False
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	163	169	0.9644970414201184	False	True
Theria	104	167	0.6227544910179641	False	False
Eutheria	139	161	0.8633540372670807	False	False
Theria	34	167	0.20359281437125748	False	False
Mammalia	165	169	0.9763313609467456	False	True
Mammalia	169	169	1.0	True	True
Mammalia	162	169	0.9585798816568047	False	True
Eutheria	100	161	0.6211180124223602	False	False
Eutheria	148	161	0.9192546583850931	False	False
Mammalia	152	169	0.8994082840236687	False	False
Eutheria	83	161	0.515527950310559	False	False
Mammalia	98	169	0.5798816568047337	False	False
Mammalia	166	169	0.9822485207100592	False	True
Mammalia	127	169	0.7514792899408284	False	False
Mammalia	128	169	0.757396449704142	False	False
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	132	169	0.7810650887573964	False	False
Mammalia	169	169	1.0	True	True
Theria	130	167	0.7784431137724551	False	False
Mammalia	43	169	0.25443786982248523	False	False
Theria	50	167	0.2994011976047904	False	False
Mammalia	139	169	0.8224852071005917	False	False
Eutheria	102	161	0.6335403726708074	False	False
Mammalia	165	169	0.9763313609467456	False	True
Mammalia	165	169	0.9763313609467456	False	True
Mammalia	166	169	0.9822485207100592	False	True
Mammalia	74	169	0.4378698224852071	False	False
Mammalia	55	169	0.3254437869822485	False	False
Boreoeutheria	104	153	0.6797385620915033	False	False
Mammalia	80	169	0.47337278106508873	False	False
Mammalia	162	169	0.9585798816568047	False	True
Eutheria	89	161	0.5527950310559007	False	False
Mammalia	152	169	0.8994082840236687	False	False
Mammalia	158	169	0.9349112426035503	False	False
Mammalia	132	169	0.7810650887573964	False	False
Mammalia	105	169	0.621301775147929	False	False
Mammalia	67	169	0.39644970414201186	False	False
Mammalia	166	169	0.9822485207100592	False	True
Mammalia	91	169	0.5384615384615384	False	False
Mammalia	153	169	0.9053254437869822	False	False
Boreoeutheria	19	153	0.12418300653594772	False	False
Mammalia	155	169	0.9171597633136095	False	False
Eutheria	21	161	0.13043478260869565	False	False
Mammalia	167	169	0.9881656804733728	False	True
Mammalia	22	169	0.1301775147928994	False	False
Mammalia	160	169	0.9467455621301775	False	False
Mammalia	169	169	1.0	True	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	149	169	0.8816568047337278	False	False
Mammalia	169	169	1.0	True	True
Mammalia	165	169	0.9763313609467456	False	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	123	169	0.727810650887574	False	False
Mammalia	167	169	0.9881656804733728	False	True
Mammalia	169	169	1.0	True	True
Mammalia	169	169	1.0	True	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	169	169	1.0	True	True
Mammalia	132	169	0.7810650887573964	False	False
Boreoeutheria	75	153	0.49019607843137253	False	False
Theria	141	167	0.844311377245509	False	False
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	162	169	0.9585798816568047	False	True
Mammalia	165	169	0.9763313609467456	False	True
Mammalia	165	169	0.9763313609467456	False	True
Mammalia	169	169	1.0	True	True
Mammalia	169	169	1.0	True	True
Mammalia	169	169	1.0	True	True
Mammalia	167	169	0.9881656804733728	False	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	169	169	1.0	True	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	169	169	1.0	True	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	164	169	0.9704142011834319	False	True
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	166	169	0.9822485207100592	False	True
Mammalia	162	169	0.9585798816568047	False	True
Mammalia	163	169	0.9644970414201184	False	True
Mammalia	81	169	0.47928994082840237	False	False
Mammalia	168	169	0.9940828402366864	False	True
Mammalia	167	169	0.9881656804733728	False	True
Mammalia	119	169	0.7041420118343196	False	False
Mammalia	159	169	0.9408284023668639	False	False
