miRTarBase ID	miRNA	Species (miRNA)	Target Gene	Target Gene (Entrez ID)	Species (Target Gene)	Experiments	Support Type	References (PMID)	mirbase_fam
MIRT000473	hsa-miR-1296-5p	Homo sapiens	MCM2	4171	Homo sapiens	qRT-PCR//Western blot	Functional MTI	20332239	mir-1296
MIRT001979	hsa-miR-510-5p	Homo sapiens	HTR3E	285242	Homo sapiens	Luciferase reporter assay	Functional MTI	18614545	mir-510
MIRT003549	hsa-miR-489-3p	Homo sapiens	PTPN11	5781	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20700123	mir-489
MIRT003549	hsa-miR-489-3p	Homo sapiens	PTPN11	5781	Homo sapiens	Luciferase reporter assay	Functional MTI	26918448	mir-489
MIRT004198	hsa-miR-197-3p	Homo sapiens	FOXO3	2309	Homo sapiens	Microarray//qRT-PCR//Western blot	Functional MTI	26540468	mir-197
MIRT004412	hsa-miR-197-3p	Homo sapiens	TUSC2	11334	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	19671678	mir-197
MIRT004745	hsa-miR-892b	Homo sapiens	MCL1	4170	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	20829195	mir-892b
MIRT005338	hsa-miR-510-5p	Homo sapiens	SPDEF	25803	Homo sapiens	Luciferase reporter assay//Western blot	Functional MTI	18922924	mir-510
MIRT005461	hsa-miR-885-5p	Homo sapiens	CDK2	1017	Homo sapiens	Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	21233845	mir-885
MIRT005462	hsa-miR-885-5p	Homo sapiens	MCM5	4174	Homo sapiens	Luciferase reporter assay//Northern blot//qRT-PCR//Western blot	Functional MTI	21233845	mir-885
MIRT007211	hsa-miR-197-3p	Homo sapiens	NSUN5	55695	Homo sapiens	Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Western blot	Functional MTI	23139153	mir-197
MIRT007234	hsa-miR-506-3p	Homo sapiens	FXN	2395	Homo sapiens	Luciferase reporter assay	Functional MTI	23382970	mir-506
MIRT053554	hsa-miR-1908-5p	Homo sapiens	APOE	348	Homo sapiens	ELISA//Luciferase reporter assay//Microarray	Functional MTI	23142051	mir-1908
MIRT053555	hsa-miR-1908-5p	Homo sapiens	DNAJA4	55466	Homo sapiens	ELISA//Luciferase reporter assay//Microarray	Functional MTI	23142051	mir-1908
MIRT054134	hsa-miR-513b-5p	Homo sapiens	HMGB3	3149	Homo sapiens	Flow//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25095979	mir-513b
MIRT054158	hsa-miR-508-5p	Homo sapiens	ABCB1	5243	Homo sapiens	Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23893241	mir-508
MIRT054159	hsa-miR-508-5p	Homo sapiens	ZNRD1	30834	Homo sapiens	Immunohistochemistry//In situ hybridization//Luciferase reporter assay//Microarray//qRT-PCR//Western blot	Functional MTI	23893241	mir-508
MIRT054282	hsa-miR-506-3p	Homo sapiens	SNAI2	6591	Homo sapiens	Immunohistochemistry//Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	25707493	mir-506
MIRT054282	hsa-miR-506-3p	Homo sapiens	SNAI2	6591	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	23717581	mir-506
MIRT054516	hsa-miR-513b-5p	Homo sapiens	GNG13	51764	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24252134	mir-513b
MIRT054517	hsa-miR-513c-5p	Homo sapiens	GNG13	51764	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24252134	mir-513c
MIRT054519	hsa-miR-513b-5p	Homo sapiens	DR1	1810	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24252134	mir-513b
MIRT054520	hsa-miR-513c-5p	Homo sapiens	DR1	1810	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24252134	mir-513c
MIRT054522	hsa-miR-513b-5p	Homo sapiens	BTG3	10950	Homo sapiens	Luciferase reporter assay//qRT-PCR//Western blot	Functional MTI	24252134	mir-513b
