orthomap	organism	mirna	gene	log2FoldChange	pvalue	baseMean	bMctrl	bMtreat	padj
ENSG00000163554|ENSMUSG00000026532	mouse	mir769	Spta1	1.35916409090854	2.559578215927e-53	503.576995665426	300.984465379298	773.700369380264	5.83583833231356e-51
ENSG00000080200|ENSMUSG00000022723	mouse	mir769	Crybg3	1.27250634627312	6.25444878988266e-53	452.001892386704	280.932331473172	680.094640271412	7.130071620466233e-51
ENSG00000137573|ENSMUSG00000016918	mouse	mir769	Sulf1	1.28874557083123	2.59588101253386e-52	376.666609633231	232.344298139074	569.096358292107	1.972869569525734e-50
ENSG00000038427|ENSMUSG00000021614	mouse	mir769	Vcan	0.957800346210544	8.59820377366179e-51	777.529886976083	553.562719944173	1076.15277635196	4.900976150987221e-49
ENSG00000166833|ENSMUSG00000052512	mouse	mir769	Nav2	0.857435908631211	1.1476120026824999e-49	1163.85306366235	863.185060992463	1564.74373388887	5.2331107322321996e-48
ENSG00000140836|ENSMUSG00000038872	mouse	mir769	Zfhx3	0.672075582909451	1.43059836020711e-33	961.978133033539	766.742262676553	1222.29262684285	5.436273768787018e-32
ENSG00000285708|ENSMUSG00000030067	mouse	mir769	Foxp1	0.67151467496026	3.0066641490964598e-33	989.780412108614	789.075059798904	1257.38754852156	9.513710228417347e-32
ENSG00000109436|ENSMUSG00000031709	mouse	mir769	Tbc1d9	1.30773529284923	3.33814393979556e-33	223.62607626474	136.607462048651	339.650895219525	9.513710228417347e-32
ENSG00000054654|ENSMUSG00000063450	mouse	mir769	Syne2	0.716842217323853	1.67149569228652e-31	1236.50612344542	968.969015279971	1593.22226766603	4.234455753792518e-30
ENSG00000131711|ENSMUSG00000052727	mouse	mir769	Map1b	0.523606730371662	7.85113796068452e-26	1812.92175815247	1526.48846507959	2194.83281558298	1.7900594550360704e-24
	mouse	mir769	Ahnak2	1.08449882738804	3.3426470403339e-25	277.888754005356	187.403503176871	398.535755110003	6.928395683601176e-24
ENSG00000155657|ENSMUSG00000051747	mouse	mir769	Ttn	0.770344097677702	4.14006759047273e-25	4015.03898527957	3082.49033796595	5258.43718169773	7.866128421898188e-24
ENSG00000056586|ENSMUSG00000075376	mouse	mir769	Rc3h2	0.562734646405568	1.47192729576765e-23	1440.26221255273	1195.60743163044	1766.46858711579	2.581534026423263e-22
ENSG00000110090|ENSMUSG00000024900	mouse	mir769	Cpt1a	-0.741868307601125	1.68632256989136e-21	537.938372198593	650.128407105288	388.351658989667	2.5632103062348674e-20
ENSG00000163694|ENSMUSG00000070780	mouse	mir769	Rbm47	-0.89875452797617	1.60155048968719e-21	351.45619785459	438.859506717013	234.918452704694	2.5632103062348674e-20
ENSG00000114948|ENSMUSG00000025964	mouse	mir769	Adam23	0.576545384896264	2.09930259027952e-21	836.594785262179	690.914868576334	1030.83467417664	2.9915061911483164e-20
ENSG00000072832|ENSMUSG00000029121	mouse	mir769	Crmp1	0.937642184453766	5.27321367813494e-21	273.189892988283	195.931318238884	376.201325987482	7.072310109498626e-20
ENSG00000196535|ENSMUSG00000000631	mouse	mir769	Myo18a	-0.586245219590015	1.04227224920099e-20	984.347403047147	1148.91261950184	764.927114440883	1.3202115156545874e-19
ENSG00000088367|ENSMUSG00000027624	mouse	mir769	Epb41l1	-0.992841667734397	2.8571505349447e-20	268.766428665956	341.873956838328	171.289724436127	3.42858064193364e-19
ENSG00000124721|ENSMUSG00000033826	mouse	mir769	Dnah8	1.15737465963599	8.00385912571668e-19	179.984730365939	117.494971163693	263.304409302266	9.124399403317016e-18
ENSG00000156675|ENSMUSG00000031488	mouse	mir769	Rab11fip1	-0.595014192379802	4.27067759717572e-18	604.456776320947	707.004818573417	467.726053317655	4.6367356769336387e-17
ENSG00000163873|ENSMUSG00000001985	mouse	mir769	Grik3	-1.22351961663933	1.61061556524266e-17	156.536389273146	207.668914095068	88.3596895105834	1.669183403978757e-16
ENSG00000197905|ENSMUSG00000030353	mouse	mir769	Tead4	-0.978237548749136	1.73197279978818e-17	220.249168340531	279.427433403447	141.344814923309	1.716912166746544e-16
ENSG00000120658|ENSMUSG00000022012	mouse	mir769	Enox1	0.58255704312205	2.00187575590747e-17	591.458984979703	487.338099876283	730.286831784264	1.9017819681120967e-16
ENSG00000183091|ENSMUSG00000026950	mouse	mir769	Neb	0.945439653124488	3.068664074611e-17	256.584762481214	183.415775164444	354.143412236907	2.7986216360452323e-16
ENSG00000116675|ENSMUSG00000028528	mouse	mir769	Dnajc6	-1.18169332143392	7.18062305879327e-17	144.929634708678	190.922439950331	83.6058943864735	6.296854066941791e-16
ENSG00000138439|ENSMUSG00000041040	mouse	mir769	Fam117b	-0.631413132142241	1.02841575321593e-16	481.548558331454	567.982592655367	366.303179232903	8.651534841558836e-16
ENSG00000125266|ENSMUSG00000001300	mouse	mir769	Efnb2	0.858292542666245	1.10041451932108e-16	239.701000082167	177.510979282701	322.621027814788	8.651534841558836e-16
ENSG00000126947|ENSMUSG00000033460	mouse	mir769	Armcx1	0.734494562054616	1.08543021669745e-16	359.630307668242	279.757164953777	466.127831287527	8.651534841558836e-16
ENSG00000081479|ENSMUSG00000027070	mouse	mir769	Lrp2	0.581382046556749	1.72646070500426e-16	651.360190122319	536.943723183106	803.915479374604	1.3121101358032376e-15
ENSG00000102034|ENSMUSG00000031103	mouse	mir769	Elf4	-0.845403366560784	3.20489032062079e-16	267.589504374108	330.611541912674	183.560120989352	2.357145139037226e-15
ENSG00000166450|ENSMUSG00000036030	mouse	mir769	Prtg	0.534982980752064	1.93488935997171e-15	599.225102983157	502.377128015259	728.355736273687	1.3786086689798436e-14
ENSG00000173068|ENSMUSG00000028487	mouse	mir769	Bnc2	0.78426664678524	2.7870175162473604e-15	261.42392988149	199.396820553292	344.126742319087	1.9255757384981762e-14
ENSG00000134343|ENSMUSG00000074968	mouse	mir769	Ano3	0.831215315726883	6.1851690555440605e-15	220.035954198113	164.702094806	293.814433387596	4.147701601953076e-14
ENSG00000256463|ENSMUSG00000024565	mouse	mir769	Sall3	0.718615970906958	7.75226313429749e-15	303.067903268445	237.169531740137	390.932398639521	5.0500456989137934e-14
ENSG00000198792|ENSMUSG00000009035	mouse	mir769	Tmem184b	-0.754309547402358	1.14878821551104e-14	308.893507206059	374.401620219012	221.549356522121	7.079019273959922e-14
ENSG00000142528|ENSMUSG00000048012	mouse	mir769	Zfp473	-0.676829335088939	1.1432376417032701e-14	354.017436670851	421.883207715309	263.529741944907	7.079019273959922e-14
ENSG00000109189|ENSMUSG00000054814	mouse	mir769	Usp46	-0.759736750122751	1.2212984876181501e-14	314.251400528821	381.333953648757	224.807996368906	7.327790925708901e-14
ENSG00000143315|ENSMUSG00000050229	mouse	mir769	Pigm	-0.604169482480661	1.79761704931885e-14	485.368203257704	568.942071885647	373.936378420447	1.0509145826787123e-13
ENSG00000005884|ENSMUSG00000001507	mouse	mir769	Itga3	-0.501302705104665	2.04439475649631e-14	760.323873612426	869.879845671968	614.249244199703	1.165305011202897e-13
ENSG00000129244|ENSMUSG00000041329	mouse	mir769	Atp1b2	-0.925811146317091	2.89628538032888e-14	218.770896131231	274.740090466813	144.145303683788	1.6106172358902065e-13
ENSG00000118513|ENSMUSG00000019982	mouse	mir769	Myb	0.912505916576662	5.25253762716639e-14	183.558140423748	132.918884842412	251.07714786553	2.8513775690331835e-13
ENSG00000224470|ENSMUSG00000069895	mouse	mir769	Atxn1l	-0.698523758060195	5.38120775335865e-14	367.238931703059	439.732710162572	270.580560423708	2.853291552943656e-13
ENSG00000133687|ENSMUSG00000030306	mouse	mir769	Tmtc1	0.756681941471539	5.53007440370486e-14	267.737729498758	206.432511414956	349.478020277161	2.8655840091925184e-13
ENSG00000167930|ENSMUSG00000024187	mouse	mir769	Fam234a	-1.14559996630428	6.44343154885563e-14	128.844129911589	168.699039413577	75.7042505756038	3.264671984753519e-13
ENSG00000114805|ENSMUSG00000036834	mouse	mir769	Plch1	-0.983414769379348	6.6965156775029e-14	162.967746422145	207.030227450835	104.217771717224	3.3191425531970896e-13
ENSG00000152558|ENSMUSG00000050912	mouse	mir769	Tmem123	0.675747419096247	2.44035870776645e-13	345.778911592964	275.089305094764	440.031720257231	1.183833585895214e-12
ENSG00000162433|ENSMUSG00000028527	mouse	mir769	Ak4	-0.638723112295584	2.51916187038367e-13	367.650127669114	434.400546690821	278.649568973503	1.1966018884322433e-12
ENSG00000196440|ENSMUSG00000049804	mouse	mir769	Armcx4	0.504246467511627	5.55283584613244e-13	682.004263684425	578.157446063939	820.466687178406	2.583768516159584e-12
ENSG00000151151|ENSMUSG00000060733	mouse	mir769	Ipmk	-0.504861658742581	7.53927655817174e-13	693.994322002196	794.684325214354	559.740984385985	3.4379101105263134e-12
ENSG00000125872|ENSMUSG00000043110	mouse	mir769	Lrrn4	-1.28543044166787	1.3888148240714598e-12	85.4259782447623	114.658826782936	46.4488468605306	6.208819213495938e-12
ENSG00000156515|ENSMUSG00000037012	mouse	mir769	Hk1	-0.599817116241779	1.5460159266254899e-12	405.887114997165	475.32807352548	313.299170292744	6.778685216742533e-12
ENSG00000160505|ENSMUSG00000032999	mouse	mir769	Nlrp4f	-0.607817961040644	1.82909997980312e-12	378.355668871364	443.912565533252	290.946473322179	7.86858104519078e-12
ENSG00000074181|ENSMUSG00000038146	mouse	mir769	Notch3	0.566181636331813	5.10475413789778e-12	418.313472309526	346.697721397932	513.801140191652	2.155340636001285e-11
ENSG00000142188|ENSMUSG00000022964	mouse	mir769	Tmem50b	-1.18172580288039	6.41242538114166e-12	92.825361576079	122.397095421039	53.3963831161329	2.658241794364179e-11
ENSG00000146910|ENSMUSG00000044681	mouse	mir769	Cnpy1	0.629107066066787	1.01019555606054e-11	315.859241710275	255.719942078887	396.044974552125	4.1129390496750555e-11
ENSG00000044459|ENSMUSG00000038070	mouse	mir769	Cntln	0.818708393379185	1.1196419832427099e-11	200.764020371389	151.004671497342	267.109818870117	4.4785679329708397e-11
ENSG00000085365|ENSMUSG00000021687	mouse	mir769	Scamp1	-0.748448298340574	1.3995230465180002e-11	219.767359571655	266.100510736729	157.989824684891	5.4959824183477984e-11
ENSG00000248746|ENSMUSG00000006457	mouse	mir769	Actn3	0.722586801612586	1.4222059766777199e-11	214.045537218799	167.184252821937	276.527249747949	5.4959824183477984e-11
	mouse	mir769	Ank2	0.648640603233765	1.51559108202206e-11	318.261544648	255.786462996606	401.561653516526	5.7592461116838277e-11
ENSG00000116005|ENSMUSG00000029998	mouse	mir769	Pcyox1	-0.634045366146281	3.23603642062622e-11	302.806889957034	357.437884878259	229.9655633954	1.2095349244307837e-10
ENSG00000171105|ENSMUSG00000005534	mouse	mir769	Insr	-0.563682053970081	3.45666714767966e-11	399.613536512316	464.078798883869	313.659853350246	1.2694895483033356e-10
ENSG00000197183|ENSMUSG00000061411	mouse	mir769	Nol4l	-0.57328204408289	3.50780006768027e-11	408.929669488402	475.958859438956	319.557416220996	1.2694895483033356e-10
ENSG00000120738|ENSMUSG00000038418	mouse	mir769	Egr1	0.651697153888979	8.99361109733351e-11	283.238495324434	227.355221311887	357.749527341162	3.203973953425063e-10
ENSG00000130829|ENSMUSG00000031383	mouse	mir769	Dusp9	-0.50973400693893	1.0534873647383201e-10	534.776194063528	613.114805147498	430.324712618234	3.6918504573865455e-10
ENSG00000077522|ENSMUSG00000052374	mouse	mir769	Actn2	0.757392473692487	1.068693553454e-10	193.746086710071	149.2786754773	253.035968353765	3.6918504573865455e-10
ENSG00000145103|ENSMUSG00000022900	mouse	mir769	Ildr1	-0.953413390860973	1.2370374807583001e-10	123.439082215614	155.972039735726	80.0618055221327	4.2096200837745134e-10
ENSG00000169499|ENSMUSG00000031557	mouse	mir769	Plekha2	-0.617197998511698	1.51577486246926e-10	286.572294738276	336.990441648626	219.348098857809	5.082303950632225e-10
ENSG00000136100|ENSMUSG00000031479	mouse	mir769	Vps36	-0.511135184787422	1.59212471767793e-10	444.554736318275	509.872706765429	357.464109055402	5.260933849718378e-10
ENSG00000130821|ENSMUSG00000019558	mouse	mir769	Slc6a8	-0.589776539935173	1.65255693274586e-10	344.308759943298	402.308063512432	266.976355184453	5.382614009515087e-10
ENSG00000160460|ENSMUSG00000011751	mouse	mir769	Sptbn4	0.589616038353567	2.16276520162551e-10	338.200044776975	277.864238233921	418.647786834381	6.945217830572059e-10
ENSG00000113070|ENSMUSG00000024486	mouse	mir769	Hbegf	-0.83158316001627	2.2242593660423e-10	171.303428897767	211.131520474095	118.199306795998	7.043487992467284e-10
ENSG00000100503|ENSMUSG00000021068	mouse	mir769	Nin	0.532244100332849	2.64147792365162e-10	471.989995737624	396.063944940193	573.224730134199	8.241331877148626e-10
ENSG00000136014|ENSMUSG00000020020	mouse	mir769	Usp44	0.654928778928083	2.67481824082894e-10	273.074233890973	218.922556306002	345.276470670935	8.241331877148626e-10
ENSG00000172782|ENSMUSG00000044788	mouse	mir769	Fads6	-0.639589185968278	2.82994924115138e-10	262.739834571834	310.555234979546	198.98596736155	8.603045693100195e-10
