target_gene	organism	mirna	Total context++ score
M6PR	mouse	mir769	-0.073
CYP26B1	mouse	mir769	-0.028
PDK4	mouse	mir769	-0.148
BAIAP2L1	mouse	mir769	-0.1
HOXA11	mouse	mir769	-0.123
COPZ2	mouse	mir769	-0.204
SYT13	mouse	mir769	-0.062
SNAI2	mouse	mir769	-0.43
SLC39A9	mouse	mir769	-0.061
NNAT	mouse	mir769	-0.215
FAM168A	mouse	mir769	-0.092
CDC27	mouse	mir769	-0.209
PIGV	mouse	mir769	-0.151
C17orf85	mouse	mir769	-0.086
TNFRSF1A	mouse	mir769	-0.239
ST6GAL1	mouse	mir769	-0.055
MNT	mouse	mir769	-0.129
ADAM7	mouse	mir769	-0.155
CDK13	mouse	mir769	-0.153
TRAM2	mouse	mir769	-0.01
OSBPL6	mouse	mir769	-0.024
UHRF1BP1	mouse	mir769	-0.02
KIAA0141	mouse	mir769	-0.202
AQP2	mouse	mir769	-0.061
EIF2AK1	mouse	mir769	-0.105
REM1	mouse	mir769	-0.093
RALGAPA2	mouse	mir769	-0.143
LAG3	mouse	mir769	-0.457
GOLGA3	mouse	mir769	-0.075
KRT23	mouse	mir769	-0.226
CBX5	mouse	mir769	-0.106
KLHL20	mouse	mir769	-0.25
CATSPERG	mouse	mir769	-0.098
MMP11	mouse	mir769	-0.177
OSM	mouse	mir769	-0.451
TBC1D10A	mouse	mir769	-0.093
MAPK1	mouse	mir769	-0.421
ASPHD2	mouse	mir769	-0.074
LGALS1	mouse	mir769	-0.238
PATZ1	mouse	mir769	-0.171
RASD2	mouse	mir769	-0.138
CBX7	mouse	mir769	-0.063
TXN2	mouse	mir769	-0.368
IL2RB	mouse	mir769	-0.188
PMM1	mouse	mir769	-0.544
SIX4	mouse	mir769	-0.105
VRK1	mouse	mir769	-0.335
EFS	mouse	mir769	-0.249
BRMS1L	mouse	mir769	-0.112
PTPRA	mouse	mir769	-0.143
TUBB1	mouse	mir769	-0.108
SRMS	mouse	mir769	-0.204
MACROD2	mouse	mir769	-0.15
TLDC2	mouse	mir769	-0.355
LBP	mouse	mir769	-0.212
TXNL1	mouse	mir769	-0.163
F9	mouse	mir769	-0.204
GPR50	mouse	mir769	-0.225
ATP12A	mouse	mir769	-0.275
MMP15	mouse	mir769	-0.13
USB1	mouse	mir769	-0.225
HSDL1	mouse	mir769	-0.082
MGA	mouse	mir769	-0.048
CTSH	mouse	mir769	-0.202
RHOV	mouse	mir769	-0.184
AGO2	mouse	mir769	-0.02
RIPK2	mouse	mir769	-0.246
SFRP1	mouse	mir769	-0.313
MTMR9	mouse	mir769	-0.03
SLC17A7	mouse	mir769	-0.341
FIZ1	mouse	mir769	-0.217
CAPS	mouse	mir769	-0.325
TWISTNB	mouse	mir769	-0.15
HBP1	mouse	mir769	-0.157
HOXA13	mouse	mir769	-0.048
SERPINE1	mouse	mir769	-0.456
YAE1D1	mouse	mir769	-0.052
YKT6	mouse	mir769	-0.083
TNFSF8	mouse	mir769	-0.169
SETX	mouse	mir769	-0.049
WNT3	mouse	mir769	-0.085
SHPK	mouse	mir769	-0.167
P2RX1	mouse	mir769	-0.105
CACNG1	mouse	mir769	-0.194
HLF	mouse	mir769	-0.314
TNFAIP1	mouse	mir769	-0.127
CCND1	mouse	mir769	-0.129
TMEM109	mouse	mir769	-0.029
SYT10	mouse	mir769	-0.282
CNOT2	mouse	mir769	-0.041
HINT3	mouse	mir769	-0.265
CAP2	mouse	mir769	-0.238
PRPH2	mouse	mir769	-0.067
TRIM23	mouse	mir769	-0.437
ECT2	mouse	mir769	-0.123
NKTR	mouse	mir769	-0.086
IGFBP5	mouse	mir769	-0.097
MOB4	mouse	mir769	-0.21
SLC1A4	mouse	mir769	-0.117
MSH6	mouse	mir769	-0.157
C1orf21	mouse	mir769	-0.127
FBXO30	mouse	mir769	-0.102
