orthomap	organism	mirna	gene	log2FoldChange	pvalue	baseMean	bMctrl	bMtreat	padj
ENSG00000157933|ENSMUSG00000029050	human	mir197	SKI	-1.18656592855348	6.44998432895755e-62	847.105189000145	1177.45794169901	516.752436301278	1.2512969598177645e-59
ENSG00000151012|ENSMUSG00000027737	human	mir197	SLC7A11	1.36605781751067	2.48882052741243e-56	684.048914634971	381.960001258412	986.13782801153	2.414155911590057e-54
ENSG00000086758|ENSMUSG00000025261	human	mir197	HUWE1	-0.657544948585013	1.40486603336747e-41	3933.36467173593	4814.75294953831	3051.97639393355	9.08480034910964e-40
ENSG00000180694|ENSMUSG00000043252	human	mir197	TMEM64	1.24029332809799	4.6857253682671503e-35	399.292229445052	237.094467535131	561.489991354973	2.272576803609568e-33
ENSG00000168615|ENSMUSG00000031555	human	mir197	ADAM9	1.01887441165852	1.5139835246953e-33	691.420705355374	456.596503232496	926.244907478252	5.874256075817764e-32
ENSG00000074219|ENSMUSG00000030796	human	mir197	TEAD2	-1.1626066489648	2.66308708538345e-32	388.311009962943	537.203835201	239.418184724886	8.610648242739821e-31
ENSG00000163683|ENSMUSG00000037822	human	mir197	SMIM14	1.13650365180702	1.42772024400938e-29	488.205958877353	304.899428046339	671.512489708367	3.956824676254568e-28
	human	mir197	MXRA5	1.02285289816099	7.20434100032967e-27	433.372589204745	285.531777506177	581.213400903314	1.747052692579945e-25
ENSG00000136010|ENSMUSG00000020256	human	mir197	ALDH1L2	1.04161469888912	4.79500516507344e-24	439.020401791922	286.733228455705	591.307575128139	1.0335900022491638e-22
ENSG00000084092|ENSMUSG00000036285	human	mir197	NOA1	-1.16685509706788	1.20922606555875e-21	243.01158767263	336.640896926014	149.382278419246	2.345898567183975e-20
ENSG00000124120|ENSMUSG00000017679	human	mir197	TTPAL	-1.19894302548941	6.888735749987481e-20	205.249690919278	286.337016024976	124.16236581358	1.214922486815974e-18
ENSG00000143858|ENSMUSG00000026452	human	mir197	SYT2	0.743765406481031	9.219481217489301e-20	767.146647596546	573.413886649452	960.87940854364	1.4904827968274368e-18
ENSG00000129484|ENSMUSG00000036023	human	mir197	PARP2	-0.983371157402216	1.96439447722121e-19	333.538013485298	443.333643428182	223.742383542414	2.93148098908396e-18
ENSG00000204217|ENSMUSG00000067336	human	mir197	BMPR2	0.595931658611948	1.1640717214784e-18	1089.2529476304	867.226461460851	1311.27943379995	1.61307081404864e-17
ENSG00000153250|ENSMUSG00000026970	human	mir197	RBMS1	0.70714331717039	2.4706889424709e-18	660.952493792218	501.894836950327	820.010150634108	3.195424365595697e-17
ENSG00000103051|ENSMUSG00000031753	human	mir197	COG4	-0.959060666631543	1.5857068017362202e-17	295.177781030635	390.150818590479	200.20474347079	1.922669497105167e-16
ENSG00000149476|ENSMUSG00000034371	human	mir197	TKFC	-1.39184845284303	2.72275516017907e-16	124.289033770597	180.436810735862	68.141256805333	3.1071441239690565e-15
ENSG00000213585|ENSMUSG00000020402	human	mir197	VDAC1	-0.67578730317863	1.86890864441677e-15	550.43271900145	677.272984725728	423.592453277172	2.0142682056491853e-14
ENSG00000132294|ENSMUSG00000015002	human	mir197	EFR3A	0.517712975448603	2.63866934807661e-15	1022.52401571379	840.823252239486	1204.22477918809	2.694220281720328e-14
ENSG00000211455|ENSMUSG00000001630	human	mir197	STK38L	-0.594183391035103	4.01711707335933e-15	740.314157451215	890.849797642646	589.778517259785	3.8966035611585506e-14
ENSG00000137962|ENSMUSG00000039831	human	mir197	ARHGAP29	0.855161151462952	1.09838450844829e-14	279.71456757628	198.870761312543	360.558373840018	1.0146980697093727e-13
ENSG00000138756|ENSMUSG00000034663	human	mir197	BMP2K	0.618884642679942	2.3228737369375602e-14	600.170258060243	473.16747113965	727.173044980836	2.0483522952994848e-13
ENSG00000165476|ENSMUSG00000019873	human	mir197	REEP3	0.639347017042212	2.9565551427851e-14	568.416238852936	444.269702821888	692.562774883984	2.493789990001345e-13
ENSG00000277443|ENSMUSG00000069662	human	mir197	MARCKS	-0.552836016624144	4.0027568380996104e-14	763.091408089716	907.724562943867	618.458253235565	3.235561777463852e-13
ENSG00000100221|ENSMUSG00000022426	human	mir197	JOSD1	0.84675609805459	1.10447836164553e-13	279.715761550224	199.622134057128	359.809389043321	8.570752086369313e-13
ENSG00000163873|ENSMUSG00000001985	human	mir197	GRIK3	0.739829103766245	1.45746870609924e-13	434.647038784977	325.330057782545	543.96401978741	1.0874958807048177e-12
ENSG00000173852|ENSMUSG00000043067	human	mir197	DPY19L1	0.725232391576668	2.9452730880117497e-13	382.886391023082	288.379751901324	477.393030144841	2.1162332558306645e-12
ENSG00000177189|ENSMUSG00000031309	human	mir197	RPS6KA3	0.667380719889227	4.0658492694180996e-13	443.655027734939	342.603488699343	544.706566770534	2.8170527080968263e-12
ENSG00000106799|ENSMUSG00000007613	human	mir197	TGFBR1	0.501845480302567	7.04505399462798e-13	861.625970606234	713.087321806975	1010.16461940549	4.712898189509752e-12
ENSG00000112078|ENSMUSG00000005936	human	mir197	KCTD20	0.555621186166104	7.40192919234336e-13	670.083352939267	542.431034826213	797.735671052321	4.786580877715373e-12
ENSG00000151414|ENSMUSG00000026393	human	mir197	NEK7	0.890919531627213	1.06685393318391e-12	227.904358467843	159.38940153296	296.419315402727	6.676440743150921e-12
ENSG00000080503|ENSMUSG00000024921	human	mir197	SMARCA2	0.58704167487509	1.67131842703026e-12	852.449188358903	681.169050968851	1023.72932574896	1.0132367963870951e-11
ENSG00000170017|ENSMUSG00000022636	human	mir197	ALCAM	0.580621402489019	2.68181280417456e-12	575.619026168476	461.128298908495	690.109753428457	1.5765808606359534e-11
ENSG00000114573|ENSMUSG00000052459	human	mir197	ATP6V1A	-0.590932780922706	8.17148581427351e-12	685.105367263431	823.688738103389	546.521996423473	4.662553670497238e-11
ENSG00000118276|ENSMUSG00000056124	human	mir197	B4GALT6	0.560885026735161	9.66147176351109e-12	570.081262074132	460.447386949712	679.715137198551	5.355215777489004e-11
ENSG00000103489|ENSMUSG00000030657	human	mir197	XYLT1	-0.544875560028458	1.0976117366513898e-11	609.090846307397	722.949873053636	495.231819561158	5.914907691954712e-11
ENSG00000008516|ENSMUSG00000023903	human	mir197	MMP25	0.623989787790965	1.51841657370851e-11	440.841459758491	346.751773725991	534.93114579099	7.961427440525701e-11
ENSG00000112144|ENSMUSG00000009828	human	mir197	CILK1	-0.682327737014063	1.68892160992544e-11	335.782186826805	413.971278951344	257.593094702266	8.622389271724615e-11
ENSG00000183742|ENSMUSG00000041886	human	mir197	MACC1	-0.540606305994656	4.37254619562191e-11	715.463142806595	848.150596581779	582.775689031411	2.1750614408991037e-10
ENSG00000100889|ENSMUSG00000040618	human	mir197	PCK2	0.636116776606116	2.13630262730259e-10	387.956492994465	303.569399300533	472.343586688396	1.0361067742417563e-09
ENSG00000257093|ENSMUSG00000037172	human	mir197	DENND11	-0.515768113122557	3.2739921748782603e-10	628.376135773456	739.695023713218	517.057247833694	1.5491572729911768e-09
ENSG00000121957|ENSMUSG00000027883	human	mir197	GPSM2	-0.624999935006653	3.95216777138621e-10	375.87978827791	456.261902318085	295.497674237736	1.8255251134498208e-09
ENSG00000107643|ENSMUSG00000021936	human	mir197	MAPK8	-0.621155009142607	4.7037075678816e-10	438.473363002865	531.646493746032	345.300232259698	2.1221378329512335e-09
